object1,object2,time
"[ 1.67520960e+09  4.04985322e+04  7.24671300e+06  1.40874801e+05
 -2.65966065e+06 -6.73952586e+06  0.00000000e+00]","[ 1.67520960e+09  4.04193365e+04  7.24768400e+06  1.81595058e+05
 -2.65961846e+06 -6.73961247e+06  0.00000000e+00]",1687259500
"[ 1.67520960e+09  4.04382271e+04  7.24454800e+06 -1.00737651e+06
 -8.10502585e+05 -7.12823638e+06  0.00000000e+00]","[ 1.67520960e+09  4.04391154e+04  7.24558400e+06  1.01541536e+06
 -8.10533643e+05 -7.12814523e+06  0.00000000e+00]",1697782600
