object1,object2,time
"[ 1.67520960e+09  4.40589429e+04  6.84325100e+06  1.00000000e+00
  9.45498885e+05 -4.74913222e+04  6.77745237e+06]","[ 1.67520960e+09  4.39917315e+04  6.84340600e+06  0.00000000e+00
  9.45736981e+05 -4.73093191e+04  6.77757693e+06]",1869323500
"[ 1.67520960e+09  4.40076427e+04  6.84437400e+06  0.00000000e+00
  9.84151692e+05 -4.67458365e+05  6.75709875e+06]","[ 1.67520960e+09  4.40269702e+04  6.84463100e+06  1.00000000e+00
  9.84028952e+05 -4.67432424e+05  6.75737874e+06]",1927675800
