object1,object2,time
"[ 1.67520960e+09  4.25002693e+04  7.01406700e+06  1.00000000e+00
 -1.90363131e+06  2.80081969e+06  6.14237192e+06]","[ 1.67520960e+09  4.25003672e+04  7.01438900e+06  1.00000000e+00
 -1.90419496e+06  2.80107046e+06  6.14245056e+06]",1926002900
"[ 1.67520960e+09  4.25910153e+04  7.01279900e+06  1.00000000e+00
 -4.78899414e+06 -1.10899368e+06 -5.00150157e+06]","[ 1.67520960e+09  4.24703293e+04  7.01313500e+06  1.00000000e+00
 -4.78947574e+06 -1.10851521e+06 -5.00161761e+06]",1965095300
"[ 1.67520960e+09  4.24739752e+04  7.01149600e+06  1.00000000e+00
  1.10059020e+06 -6.97080018e+05  6.88940177e+06]","[ 1.67520960e+09  4.24285194e+04  7.01174700e+06  0.00000000e+00
  1.10058660e+06 -6.97722769e+05  6.88959274e+06]",1977809800
"[ 1.67520960e+09  4.26632270e+04  7.01383900e+06  1.00000000e+00
 -2.22142942e+06  5.76759835e+05 -6.62770978e+06]","[ 1.67520960e+09  4.23202693e+04  7.01413528e+06  1.00000000e+00
 -2.22195653e+06  5.76361423e+05 -6.62788129e+06]",1990437600
"[ 1.67520960e+09  4.26632270e+04  7.01383900e+06  1.00000000e+00
 -2.73868922e+06  5.62049460e+04 -6.45680725e+06]","[ 1.67520960e+09  4.23202693e+04  7.01413528e+06  1.00000000e+00
 -2.73918295e+06  5.58146291e+04 -6.45692305e+06]",1990437700
"[ 1.67520960e+09  4.26632270e+04  7.01383900e+06  1.00000000e+00
 -3.22434205e+06 -4.64998599e+05 -6.21138730e+06]","[ 1.67520960e+09  4.23202693e+04  7.01413528e+06  1.00000000e+00
 -3.22480070e+06 -4.65376235e+05 -6.21145547e+06]",1990437800
"[ 1.67520960e+09  4.26632270e+04  7.01383900e+06  1.00000000e+00
 -3.67278305e+06 -9.80835638e+05 -5.89428228e+06]","[ 1.67520960e+09  4.23202693e+04  7.01413528e+06  1.00000000e+00
 -3.67320604e+06 -9.81196914e+05 -5.89431113e+06]",1990437900
"[ 1.67520960e+09  4.26632270e+04  7.01383900e+06  1.00000000e+00
 -4.07883679e+06 -1.48535294e+06 -5.50915190e+06]","[ 1.67520960e+09  4.23202693e+04  7.01413528e+06  1.00000000e+00
 -4.07922461e+06 -1.48569512e+06 -5.50914969e+06]",1990438000
"[ 1.67520960e+09  4.26632270e+04  7.01383900e+06  1.00000000e+00
 -4.43781704e+06 -1.97272792e+06 -5.06044089e+06]","[ 1.67520960e+09  4.23202693e+04  7.01413528e+06  1.00000000e+00
 -4.43817117e+06 -1.97304923e+06 -5.06041571e+06]",1990438100
"[ 1.67520960e+09  4.26632270e+04  7.01383900e+06  1.00000000e+00
 -4.74558085e+06 -2.43733583e+06 -4.55332779e+06]","[ 1.67520960e+09  4.23202693e+04  7.01413528e+06  1.00000000e+00
 -4.74590369e+06 -2.43763544e+06 -4.55328732e+06]",1990438200
"[ 1.67520960e+09  4.26632270e+04  7.01383900e+06  1.00000000e+00
 -4.99857635e+06 -2.87381466e+06 -3.99366515e+06]","[ 1.67520960e+09  4.23202693e+04  7.01413528e+06  1.00000000e+00
 -4.99887110e+06 -2.87409267e+06 -3.99361650e+06]",1990438300
"[ 1.67520960e+09  4.26632270e+04  7.01383900e+06  1.00000000e+00
 -5.19388372e+06 -3.27712706e+06 -3.38791198e+06]","[ 1.67520960e+09  4.23202693e+04  7.01413528e+06  1.00000000e+00
 -5.19415430e+06 -3.27738447e+06 -3.38786156e+06]",1990438400
