object1,object2,time
"[ 1.67520960e+09  4.21264346e+04  7.05078800e+06  1.00000000e+00
 -1.05833269e+06  6.36940951e+06 -2.83269585e+06]","[ 1.67520960e+09  4.21339409e+04  7.05106300e+06  1.00000000e+00
 -1.05784835e+06  6.36983080e+06 -2.83261398e+06]",1832741200
"[ 1.67520960e+09  4.21548641e+04  7.04835200e+06  0.00000000e+00
 -4.26294871e+05 -4.63632920e+06  5.29169067e+06]","[ 1.67520960e+09  4.21648683e+04  7.04860400e+06  1.00000000e+00
 -4.25966130e+05 -4.63685314e+06  5.29159372e+06]",1887522000
"[ 1.67520960e+09  4.21968830e+04  7.05074400e+06  1.00000000e+00
 -2.95199909e+06  3.11484587e+06  5.59432101e+06]","[ 1.67520960e+09  4.21230269e+04  7.05092300e+06  1.00000000e+00
 -2.95189160e+06  3.11480473e+06  5.59462623e+06]",1933366700
