object1,object2,time
"[1.67520960e+09 4.29000480e+04 6.96580400e+06 0.00000000e+00
 2.40209619e+05 1.05862175e+06 6.88070089e+06]","[1.67520960e+09 4.28984520e+04 6.96604000e+06 1.00000000e+00
 2.40017988e+05 1.05872683e+06 6.88093033e+06]",1760039900
"[ 1.67520960e+09  4.28250649e+04  6.96801000e+06  0.00000000e+00
 -1.47466426e+05  5.87445222e+06  3.74462657e+06]","[ 1.67520960e+09  4.28570761e+04  6.96809300e+06  1.00000000e+00
 -1.47030543e+05  5.87452729e+06  3.74468039e+06]",1768654300
"[1.67520960e+09 4.28842617e+04 6.96734800e+06 1.00000000e+00
 6.59425707e+05 6.17797738e+05 6.90850359e+06]","[1.67520960e+09 4.28830557e+04 6.96769300e+06 0.00000000e+00
 6.59885353e+05 6.17804383e+05 6.90880705e+06]",1894314900
"[ 1.67520960e+09  4.28678073e+04  6.96739500e+06  1.00000000e+00
  1.49973294e+06 -2.94012330e+06  6.13604670e+06]","[ 1.67520960e+09  4.28272615e+04  6.96801300e+06  0.00000000e+00
  1.49959445e+06 -2.94055554e+06  6.13657516e+06]",1898279900
"[ 1.67520960e+09  4.28842617e+04  6.96734800e+06  1.00000000e+00
 -3.79722258e+06  3.04424977e+06 -4.98573788e+06]","[ 1.67520960e+09  4.28678073e+04  6.96739500e+06  1.00000000e+00
 -3.79692121e+06  3.04463397e+06 -4.98579847e+06]",1903092900
"[ 1.67520960e+09  4.29312717e+04  6.96625300e+06  1.00000000e+00
  8.49427520e+05  5.55592177e+05 -6.89191346e+06]","[ 1.67520960e+09  4.28703486e+04  6.96644400e+06  0.00000000e+00
  8.49415144e+05  5.55825864e+05 -6.89208920e+06]",1924906200
"[ 1.67520960e+09  4.29000480e+04  6.96580400e+06  0.00000000e+00
 -3.58061479e+05 -9.35438626e+05 -6.89341511e+06]","[ 1.67520960e+09  4.28984520e+04  6.96604000e+06  1.00000000e+00
 -3.58186460e+05 -9.35871824e+05 -6.89358830e+06]",1987754300
