object1,object2,time
"[ 1.67520960e+09  4.36603565e+04  6.88096300e+06  0.00000000e+00
  3.33679823e+06  2.76748776e+06 -5.34363555e+06]","[ 1.67520960e+09  4.37818534e+04  6.88101200e+06  1.00000000e+00
  3.33704995e+06  2.76744097e+06 -5.34356568e+06]",1769676100
"[ 1.67520960e+09  4.36541964e+04  6.88040900e+06  0.00000000e+00
  1.00036457e+06 -1.56783313e+06  6.62428849e+06]","[ 1.67520960e+09  4.37210608e+04  6.88091300e+06  1.00000000e+00
  1.00052019e+06 -1.56818038e+06  6.62470628e+06]",1907294500
