object1,object2,time
"[ 1.67520960e+09  4.23751278e+04  7.02308200e+06  1.00000000e+00
  6.39496061e+06 -2.89634164e+06  1.98405442e+05]","[ 1.67520960e+09  4.21767882e+04  7.02347726e+06  1.00000000e+00
  6.39536915e+06 -2.89636132e+06  1.98940849e+05]",1982827200
"[ 1.67520960e+09  4.23751278e+04  7.02308200e+06  1.00000000e+00
  6.42523640e+06 -2.68220436e+06  9.19672604e+05]","[ 1.67520960e+09  4.21767882e+04  7.02347726e+06  1.00000000e+00
  6.42559374e+06 -2.68220814e+06  9.20183382e+05]",1982827300
"[ 1.67520960e+09  4.23751278e+04  7.02308200e+06  1.00000000e+00
  6.38165124e+06 -2.43723395e+06  1.63036772e+06]","[ 1.67520960e+09  4.21767882e+04  7.02347726e+06  1.00000000e+00
  6.38196572e+06 -2.43722698e+06  1.63084978e+06]",1982827400
"[ 1.67520960e+09  4.23751278e+04  7.02308200e+06  1.00000000e+00
  6.26470615e+06 -2.16424644e+06  2.32232103e+06]","[ 1.67520960e+09  4.21767882e+04  7.02347726e+06  1.00000000e+00
  6.26498654e+06 -2.16423354e+06  2.32277199e+06]",1982827500
"[ 1.67520960e+09  4.23751278e+04  7.02308200e+06  1.00000000e+00
  6.07574547e+06 -1.86637996e+06  2.98757823e+06]","[ 1.67520960e+09  4.21767882e+04  7.02347726e+06  1.00000000e+00
  6.07600068e+06 -1.86636546e+06  2.98799741e+06]",1982827600
"[ 1.67520960e+09  4.23751278e+04  7.02308200e+06  1.00000000e+00
  5.81694138e+06 -1.54705861e+06  3.61849188e+06]","[ 1.67520960e+09  4.21767882e+04  7.02347726e+06  1.00000000e+00
  5.81718027e+06 -1.54704630e+06  3.61888026e+06]",1982827700
"[ 1.67520960e+09  4.23751278e+04  7.02308200e+06  1.00000000e+00
  5.49126895e+06 -1.20995313e+06  4.20780935e+06]","[ 1.67520960e+09  4.21767882e+04  7.02347726e+06  1.00000000e+00
  5.49150006e+06 -1.20994615e+06  4.20816948e+06]",1982827800
"[ 1.67520960e+09  4.23751278e+04  7.02308200e+06  1.00000000e+00
  5.10247194e+06 -8.58938693e+05  4.74875618e+06]","[ 1.67520960e+09  4.21767882e+04  7.02347726e+06  1.00000000e+00
  5.10270324e+06 -8.58939474e+05  4.74909207e+06]",1982827900
"[ 1.67520960e+09  4.23751278e+04  7.02308200e+06  1.00000000e+00
  4.65501974e+06 -4.98050376e+05  5.23511393e+06]","[ 1.67520960e+09  4.21767882e+04  7.02347726e+06  1.00000000e+00
  4.65525847e+06 -4.98060572e+05  5.23543094e+06]",1982828000
"[ 1.67520960e+09  4.23751278e+04  7.02308200e+06  1.00000000e+00
  4.15405600e+06 -1.31436748e+05  5.66129171e+06]","[ 1.67520960e+09  4.21767882e+04  7.02347726e+06  1.00000000e+00
  4.15430846e+06 -1.31457206e+05  5.66159634e+06]",1982828100
"[1.67520960e+09 4.23751278e+04 7.02308200e+06 1.00000000e+00
 3.60533954e+06 2.36687803e+05 6.02239043e+06]","[1.67520960e+09 4.21767882e+04 7.02347726e+06 1.00000000e+00
 3.60561086e+06 2.36657064e+05 6.02269015e+06]",1982828200
"[1.67520960e+09 4.23751278e+04 7.02308200e+06 1.00000000e+00
 3.01517810e+06 6.02091523e+05 6.31425907e+06]","[1.67520960e+09 4.21767882e+04 7.02347726e+06 1.00000000e+00
 3.01547216e+06 6.02051314e+05 6.31456212e+06]",1982828300
"[1.67520960e+09 4.23751278e+04 7.02308200e+06 1.00000000e+00
 2.39035583e+06 9.60573933e+05 6.53354249e+06]","[1.67520960e+09 4.21767882e+04 7.02347726e+06 1.00000000e+00
 2.39067510e+06 9.60525883e+05 6.53385763e+06]",1982828400
"[1.67520960e+09 4.23751278e+04 7.02308200e+06 1.00000000e+00
 1.73805536e+06 1.30801412e+06 6.67771993e+06]","[1.67520960e+09 4.21767882e+04 7.02347726e+06 1.00000000e+00
 1.73840080e+06 1.30796064e+06 6.67805619e+06]",1982828500
"[1.67520960e+09 4.23751278e+04 7.02308200e+06 1.00000000e+00
 1.06577517e+06 1.64041809e+06 6.74513399e+06]","[1.67520960e+09 4.21767882e+04 7.02347726e+06 1.00000000e+00
 1.06614618e+06 1.64036234e+06 6.74550047e+06]",1982828600
"[1.67520960e+09 4.23751278e+04 7.02308200e+06 1.00000000e+00
 3.81243418e+05 1.95396473e+06 6.73500973e+06]","[1.67520960e+09 4.21767882e+04 7.02347726e+06 1.00000000e+00
 3.81637795e+05 1.95391053e+06 6.73541529e+06]",1982828700
"[ 1.67520960e+09  4.23751278e+04  7.02308200e+06  1.00000000e+00
 -3.07670898e+05  2.24504968e+06  6.64746353e+06]","[ 1.67520960e+09  4.21767882e+04  7.02347726e+06  1.00000000e+00
 -3.07256943e+05  2.24500143e+06  6.64791656e+06]",1982828800
