object1,object2,time
"[ 1.67520960e+09  4.32005115e+04  6.93641400e+06  1.00000000e+00
 -3.00361888e+06 -9.69872640e+05  6.17668680e+06]","[ 1.67520960e+09  4.31902410e+04  6.93653700e+06  1.00000000e+00
 -3.00411741e+06 -9.70203971e+05  6.17653045e+06]",1765168900
"[ 1.67520960e+09  4.32317886e+04  6.93843100e+06  1.00000000e+00
  5.69902521e+06  1.82659951e+06 -3.51090737e+06]","[ 1.67520960e+09  4.31790143e+04  6.93850300e+06  0.00000000e+00
  5.69890079e+06  1.82716556e+06 -3.51095709e+06]",1978430900
