object1,object2,time
"[ 1.67520960e+09  4.25209887e+04  7.00780100e+06  1.00000000e+00
 -5.54752905e+06  3.65026501e+06  2.23824968e+06]","[ 1.67520960e+09  4.25501017e+04  7.00809700e+06  0.00000000e+00
 -5.54761309e+06  3.65036206e+06  2.23880984e+06]",1691192000
"[ 1.67520960e+09  4.25461973e+04  7.00766900e+06  1.00000000e+00
  1.01679986e+06 -3.23475047e+06 -6.13269372e+06]","[ 1.67520960e+09  4.25358438e+04  7.00769600e+06  0.00000000e+00
  1.01681311e+06 -3.23482364e+06 -6.13268378e+06]",1939056700
