object1,object2,time
"[1.67520960e+09 4.17005772e+04 7.10356200e+06 1.00000000e+00
 1.74689398e+06 7.14391535e+05 6.84825520e+06]","[1.67520960e+09 4.16596912e+04 7.10374500e+06 1.00000000e+00
 1.74672125e+06 7.13890502e+05 6.84854132e+06]",1756595100
"[ 1.67520960e+09  4.16687552e+04  7.10005900e+06  1.00000000e+00
 -1.87528796e+06  5.48608457e+05  6.82591837e+06]","[ 1.67520960e+09  4.16942580e+04  7.10011300e+06  1.00000000e+00
 -1.87575883e+06  5.48886695e+05  6.82582279e+06]",1820077200
"[ 1.67520960e+09  4.16736886e+04  7.10294500e+06  1.00000000e+00
  5.33365941e+05 -1.32143114e+06 -6.95853204e+06]","[ 1.67520960e+09  4.17005772e+04  7.10356200e+06  1.00000000e+00
  5.33223526e+05 -1.32174015e+06 -6.95911408e+06]",1864778900
"[ 1.67520960e+09  4.17040288e+04  7.09975800e+06  1.00000000e+00
 -1.45358399e+06  2.39723752e+06  6.52279921e+06]","[ 1.67520960e+09  4.16771739e+04  7.10026700e+06  1.00000000e+00
 -1.45345777e+06  2.39759480e+06  6.52325005e+06]",1927507900
"[ 1.67520960e+09  4.17106643e+04  7.10246000e+06  1.00000000e+00
  2.88540493e+06  6.17054426e+06 -2.01091025e+06]","[ 1.67520960e+09  4.14936886e+04  7.10302296e+06  1.00000000e+00
  2.88557898e+06  6.17117184e+06 -2.01072303e+06]",1949168500
"[ 1.67520960e+09  4.17106643e+04  7.10246000e+06  1.00000000e+00
  2.76104243e+06  6.41080221e+06 -1.31270627e+06]","[ 1.67520960e+09  4.14936886e+04  7.10302296e+06  1.00000000e+00
  2.76120743e+06  6.41138920e+06 -1.31253843e+06]",1949168600
"[ 1.67520960e+09  4.17106643e+04  7.10246000e+06  1.00000000e+00
  2.60599186e+06  6.57980623e+06 -5.99912006e+05]","[ 1.67520960e+09  4.14936886e+04  7.10302296e+06  1.00000000e+00
  2.60615327e+06  6.58036302e+06 -5.99768874e+05]",1949168700
"[1.67520960e+09 4.17106643e+04 7.10246000e+06 1.00000000e+00
 2.42197655e+06 6.67567790e+06 1.19550083e+05]","[1.67520960e+09 4.14936886e+04 7.10302296e+06 1.00000000e+00
 2.42213946e+06 6.67621567e+06 1.19665335e+05]",1949168800
"[1.67520960e+09 4.17106643e+04 7.10246000e+06 1.00000000e+00
 2.21104178e+06 6.69735162e+06 8.37683413e+05]","[1.67520960e+09 4.14936886e+04 7.10302296e+06 1.00000000e+00
 2.21121078e+06 6.69788203e+06 8.37769819e+05]",1949168900
"[1.67520960e+09 4.17106643e+04 7.10246000e+06 1.00000000e+00
 1.97553202e+06 6.64458651e+06 1.54650617e+06]","[1.67520960e+09 4.14936886e+04 7.10302296e+06 1.00000000e+00
 1.97571105e+06 6.64512134e+06 1.54656498e+06]",1949169000
"[1.67520960e+09 4.17106643e+04 7.10246000e+06 1.00000000e+00
 1.71806488e+06 6.51796904e+06 2.23814003e+06]","[1.67520960e+09 4.14936886e+04 7.10302296e+06 1.00000000e+00
 1.71825718e+06 6.51851989e+06 2.23817467e+06]",1949169100
"[1.67520960e+09 4.17106643e+04 7.10246000e+06 1.00000000e+00
 1.44150202e+06 6.31890650e+06 2.90489770e+06]","[1.67520960e+09 4.14936886e+04 7.10302296e+06 1.00000000e+00
 1.44170998e+06 6.31948446e+06 2.90491371e+06]",1949169200
"[1.67520960e+09 4.17106643e+04 7.10246000e+06 1.00000000e+00
 1.14891734e+06 6.04961142e+06 3.53936840e+06]","[1.67520960e+09 4.14936886e+04 7.10302296e+06 1.00000000e+00
 1.14914246e+06 6.05022674e+06 3.53937326e+06]",1949169300
