object1,object2,time
"[ 1.67520960e+09  4.20346312e+04  7.06093200e+06  1.00000000e+00
  1.85489859e+06 -7.30065501e+05  6.77370772e+06]","[ 1.67520960e+09  4.20239131e+04  7.06105300e+06  0.00000000e+00
  1.85525039e+06 -7.29732459e+05  6.77377339e+06]",1729939500
"[ 1.67520960e+09  4.21033364e+04  7.06054200e+06  1.00000000e+00
 -6.10590862e+04 -1.98627167e+06 -6.77511992e+06]","[ 1.67520960e+09  4.20251119e+04  7.06081300e+06  1.00000000e+00
 -6.05358680e+04 -1.98625201e+06 -6.77541280e+06]",1753280700
"[ 1.67520960e+09  4.20330109e+04  7.05754700e+06  1.00000000e+00
  8.07876355e+05  1.80176374e+06 -6.77568837e+06]","[ 1.67520960e+09  4.23820271e+04  7.05759200e+06  1.00000000e+00
  8.07795665e+05  1.80148931e+06 -6.77581783e+06]",1835776000
"[ 1.67520960e+09  4.20951067e+04  7.06086400e+06  1.00000000e+00
 -8.71876506e+05  1.46013625e+06 -6.85300182e+06]","[ 1.67520960e+09  4.20394814e+04  7.06099500e+06  1.00000000e+00
 -8.72139546e+05  1.46009074e+06 -6.85311302e+06]",1873703800
