object1,object2,time
"[ 1.67520960e+09  4.15866530e+04  7.10850300e+06  1.00000000e+00
 -3.12311158e+06 -6.22587190e+06 -1.41968591e+06]","[ 1.67520960e+09  4.16247190e+04  7.10860300e+06  1.00000000e+00
 -3.12371489e+06 -6.22570747e+06 -1.41958035e+06]",1784941100
"[ 1.67520960e+09  4.15823012e+04  7.10721200e+06  1.00000000e+00
 -1.50478323e+06 -1.47040664e+06 -6.78866660e+06]","[ 1.67520960e+09  4.16770534e+04  7.10779500e+06  1.00000000e+00
 -1.50480360e+06 -1.47033825e+06 -6.78928725e+06]",1803811700
"[ 1.67520960e+09  4.21397630e+04  7.10711600e+06  1.00000000e+00
 -1.12766189e+06 -6.32787014e+06  3.03274397e+06]","[ 1.67520960e+09  4.16382664e+04  7.10757900e+06  1.00000000e+00
 -1.12818232e+06 -6.32832872e+06  3.03267861e+06]",1914727600
"[ 1.67520960e+09  4.16181594e+04  7.10476500e+06  0.00000000e+00
 -8.12743561e+05 -8.19506304e+05  7.01038822e+06]","[ 1.67520960e+09  4.17810461e+04  7.10509000e+06  1.00000000e+00
 -8.12368081e+05 -8.19242661e+05  7.01079193e+06]",1988247700
