object1,object2,time
"[1.67520960e+09 4.35957438e+04 6.88761900e+06 1.00000000e+00
 8.43769062e+05 3.59376204e+05 6.82628728e+06]","[1.67520960e+09 4.35885834e+04 6.88791200e+06 1.00000000e+00
 8.44253797e+05 3.59792595e+05 6.82650105e+06]",1751696600
"[ 1.67520960e+09  4.35957438e+04  6.88761900e+06  1.00000000e+00
  1.29181287e+06 -2.51420990e+05  6.76071760e+06]","[ 1.67520960e+09  4.35885834e+04  6.88791200e+06  1.00000000e+00
  1.29199812e+06 -2.51210233e+05  6.76098854e+06]",1751696700
"[ 1.67520960e+09  4.35957438e+04  6.88761900e+06  1.00000000e+00
  1.72411408e+06 -8.59154259e+05  6.61275889e+06]","[ 1.67520960e+09  4.35885834e+04  6.88791200e+06  1.00000000e+00
  1.72399961e+06 -8.59152095e+05  6.61309419e+06]",1751696800
"[ 1.67520960e+09  4.35957438e+04  6.88761900e+06  1.00000000e+00
  2.13540448e+06 -1.45641750e+06  6.38421422e+06]","[ 1.67520960e+09  4.35885834e+04  6.88791200e+06  1.00000000e+00
  2.13499436e+06 -1.45662529e+06  6.38462008e+06]",1751696900
"[1.67520960e+09 4.35885834e+04 6.88791200e+06 1.00000000e+00
 7.46367325e+05 4.90957885e+05 6.82973117e+06]","[1.67520960e+09 4.35886256e+04 6.88836200e+06 1.00000000e+00
 7.46869729e+05 4.90884990e+05 6.83013533e+06]",1791589000
"[ 1.67520960e+09  4.35957438e+04  6.88761900e+06  1.00000000e+00
 -1.54696982e+06  6.07803354e+05 -6.68406725e+06]","[ 1.67520960e+09  4.35885834e+04  6.88791200e+06  1.00000000e+00
 -1.54670027e+06  6.07320392e+05 -6.68447544e+06]",1840854500
"[ 1.67520960e+09  4.35885834e+04  6.88791200e+06  1.00000000e+00
 -7.82083756e+05 -4.43196343e+05 -6.82900093e+06]","[ 1.67520960e+09  4.35886256e+04  6.88836200e+06  1.00000000e+00
 -7.81767671e+05 -4.43601012e+05 -6.82946473e+06]",1907707700
"[ 1.67520960e+09  4.35957438e+04  6.88761900e+06  1.00000000e+00
 -1.12045556e+06  1.56325943e+04 -6.79585392e+06]","[ 1.67520960e+09  4.35885834e+04  6.88791200e+06  1.00000000e+00
 -1.12098807e+06  1.56588965e+04 -6.79606300e+06]",1930009300
"[ 1.67520960e+09  4.35957438e+04  6.88761900e+06  1.00000000e+00
 -1.55946902e+06  6.25430071e+05 -6.67953510e+06]","[ 1.67520960e+09  4.35885834e+04  6.88791200e+06  1.00000000e+00
 -1.55969290e+06  6.25661983e+05 -6.67976323e+06]",1930009400
"[ 1.67520960e+09  4.35957438e+04  6.88761900e+06  1.00000000e+00
 -1.97947811e+06  1.22760579e+06 -6.48181656e+06]","[ 1.67520960e+09  4.35885834e+04  6.88791200e+06  1.00000000e+00
 -1.97939306e+06  1.22804145e+06 -6.48207135e+06]",1930009500
"[ 1.67520960e+09  4.35957438e+04  6.88761900e+06  1.00000000e+00
  1.86689451e+06 -1.06423936e+06  6.54380585e+06]","[ 1.67520960e+09  4.37550611e+04  6.88803500e+06  1.00000000e+00
  1.86716536e+06 -1.06383306e+06  6.54423249e+06]",1944143300
"[ 1.67520960e+09  4.34157438e+04  6.88753601e+06  1.00000000e+00
  4.20164688e+06 -3.87266121e+06 -3.84536228e+06]","[ 1.67520960e+09  4.34085834e+04  6.88786395e+06  1.00000000e+00
  4.20197563e+06 -3.87235523e+06 -3.84589853e+06]",1982715000
"[ 1.67520960e+09  4.34157438e+04  6.88753601e+06  1.00000000e+00
  4.33420970e+06 -3.24655386e+06 -4.25589787e+06]","[ 1.67520960e+09  4.34085834e+04  6.88786395e+06  1.00000000e+00
  4.33449484e+06 -3.24622900e+06 -4.25638598e+06]",1982715100
"[ 1.67520960e+09  4.34157438e+04  6.88753601e+06  1.00000000e+00
  4.41395205e+06 -2.58088117e+06 -4.61456737e+06]","[ 1.67520960e+09  4.34085834e+04  6.88786395e+06  1.00000000e+00
  4.41419764e+06 -2.58054702e+06 -4.61500878e+06]",1982715200
"[ 1.67520960e+09  4.34157438e+04  6.88753601e+06  1.00000000e+00
  4.43990212e+06 -1.88375560e+06 -4.91699973e+06]","[ 1.67520960e+09  4.34085834e+04  6.88786395e+06  1.00000000e+00
  4.44011285e+06 -1.88342073e+06 -4.91739708e+06]",1982715300
"[ 1.67520960e+09  4.34157438e+04  6.88753601e+06  1.00000000e+00
  4.41174367e+06 -1.16367295e+06 -5.15950922e+06]","[ 1.67520960e+09  4.34085834e+04  6.88786395e+06  1.00000000e+00
  4.41192468e+06 -1.16334470e+06 -5.15986623e+06]",1982715400
"[ 1.67520960e+09  4.34157438e+04  6.88753601e+06  1.00000000e+00
  4.32981985e+06 -4.29408751e+05 -5.33914043e+06]","[ 1.67520960e+09  4.34085834e+04  6.88786395e+06  1.00000000e+00
  4.32997661e+06 -4.29093159e+05 -5.33946171e+06]",1982715500
