object1,object2,time
"[ 1.67520960e+09  4.39407675e+04  6.85107000e+06  0.00000000e+00
  6.68561937e+06  5.32119921e+05 -1.39875022e+06]","[ 1.67523680e+09  1.34430186e+02  6.84912200e+06  1.00000000e+00
  6.68352631e+06  5.33217622e+05 -1.39879489e+06]",1675248400
"[1.67524520e+09 1.73747349e+02 6.84978600e+06 1.00000000e+00
 3.26296438e+06 5.26999379e+06 2.91544116e+06]","[1.67524860e+09 1.81121720e+02 6.85047000e+06 1.00000000e+00
 3.26281588e+06 5.27124180e+06 2.91495827e+06]",1675250565
"[1.67521800e+09 1.43140574e+02 6.84781700e+06 1.00000000e+00
 1.08755733e+06 3.47264870e+06 5.80090749e+06]","[1.67525660e+09 2.37036094e+02 6.84892700e+06 1.00000000e+00
 1.08612818e+06 3.47526688e+06 5.80091775e+06]",1675257085
"[ 1.67521800e+09  1.43140574e+02  6.84781700e+06  1.00000000e+00
 -1.08747708e+06 -3.47408923e+06 -5.80005994e+06]","[ 1.67525660e+09  2.37036094e+02  6.84892700e+06  1.00000000e+00
 -1.08858149e+06 -3.47288015e+06 -5.80188718e+06]",1675259905
"[ 1.67520960e+09  4.39831950e+04  6.84962200e+06  0.00000000e+00
  6.61079861e+06  1.27271982e+06 -1.26287271e+06]","[ 1.67525020e+09  1.42919034e+02  6.84764400e+06  1.00000000e+00
  6.60877872e+06  1.27163078e+06 -1.26381458e+06]",1675259920
"[ 1.67520960e+09  4.39838120e+04  6.84815900e+06  0.00000000e+00
  4.12188935e+06 -5.44321437e+06  5.27946222e+05]","[ 1.67522320e+09  2.37642272e+02  6.84978600e+06  1.00000000e+00
  4.12437376e+06 -5.44344416e+06  5.27280767e+05]",1675264790
"[1.67520960e+09 4.38038120e+04 6.84806847e+06 1.00000000e+00
 6.65017939e+06 1.51310908e+06 6.17783724e+05]","[1.67526620e+09 2.80961728e+02 6.84971266e+06 1.00000000e+00
 6.65210886e+06 1.51261958e+06 6.16435908e+05]",1675271830
"[ 1.67523640e+09  1.70507506e+02  6.85107000e+06  1.00000000e+00
 -5.58269266e+06 -2.58394028e+06 -3.01561858e+06]","[ 1.67526520e+09  4.63707623e+01  6.85023700e+06  1.00000000e+00
 -5.58058237e+06 -2.58469662e+06 -3.01698372e+06]",1675279950
"[ 1.67521560e+09  2.54683831e+01  6.85112800e+06  1.00000000e+00
 -6.59975021e+06  1.49902596e+06  1.06497568e+06]","[ 1.67523060e+09  3.03982764e+02  6.85023700e+06  1.00000000e+00
 -6.59834829e+06  1.49982571e+06  1.06680345e+06]",1675281300
"[ 1.67524480e+09  8.27492775e+01  6.85112800e+06  1.00000000e+00
  3.09923824e+06  6.10938057e+06 -9.02566478e+04]","[ 1.67525920e+09  1.57139899e+02  6.85047000e+06  1.00000000e+00
  3.10061325e+06  6.10795368e+06 -8.96581902e+04]",1675283275
