object1,object2,time
"[ 1.67520960e+09  4.18709768e+04  7.08109400e+06  0.00000000e+00
 -8.61831806e+05 -6.88986396e+05  6.99460048e+06]","[ 1.67520960e+09  4.22631567e+04  7.08111500e+06  1.00000000e+00
 -8.61960104e+05 -6.89519391e+05  6.99455341e+06]",1758181300
"[ 1.67520960e+09  4.18342584e+04  7.08229100e+06  1.00000000e+00
 -2.23037318e+06  4.45467451e+06 -5.03390071e+06]","[ 1.67520960e+09  4.18412853e+04  7.08235900e+06  1.00000000e+00
 -2.23040060e+06  4.45494194e+06 -5.03374756e+06]",1766108100
"[ 1.67520960e+09  4.18624122e+04  7.08271700e+06  1.00000000e+00
  2.41672624e+05  2.11076863e+06 -6.75656201e+06]","[ 1.67520960e+09  4.18117235e+04  7.08315300e+06  1.00000000e+00
  2.41491882e+05  2.11080639e+06 -6.75701373e+06]",1800239000
"[ 1.67520960e+09  4.18352560e+04  7.08381600e+06  1.00000000e+00
 -1.96663443e+06  5.04396033e+04  6.80516377e+06]","[ 1.67520960e+09  4.17789714e+04  7.08439900e+06  1.00000000e+00
 -1.96688318e+06  5.04029542e+04  6.80569903e+06]",1920310900
"[ 1.67520960e+09  4.18185497e+04  7.08325500e+06  1.00000000e+00
 -1.95625545e+06 -1.64623409e+06  6.60571566e+06]","[ 1.67520960e+09  4.18351398e+04  7.08356500e+06  1.00000000e+00
 -1.95684272e+06 -1.64634988e+06  6.60584527e+06]",1979054900
