object1,object2,time
"[ 1.67520960e+09  4.33169219e+04  6.91894800e+06  1.00000000e+00
  4.92919482e+06  2.31146575e+05 -4.84989187e+06]","[ 1.67520960e+09  4.33037827e+04  6.91943000e+06  0.00000000e+00
  4.92938305e+06  2.30961345e+05 -4.85039700e+06]",1699326500
"[ 1.67520960e+09  4.33006457e+04  6.91970800e+06  1.00000000e+00
 -9.42732921e+05 -5.94677268e+05 -6.82934641e+06]","[ 1.67520960e+09  4.33448994e+04  6.91993000e+06  1.00000000e+00
 -9.42515991e+05 -5.95140088e+05 -6.82956097e+06]",1876637600
