object1,object2,time
"[ 1.67520960e+09  4.19249927e+04  7.07639400e+06  1.00000000e+00
 -2.05284762e+05 -1.93789106e+06  6.80277800e+06]","[ 1.67520960e+09  4.18794853e+04  7.07707100e+06  1.00000000e+00
 -2.05399161e+05 -1.93807149e+06  6.80342737e+06]",1708153300
"[ 1.67520960e+09  4.18797433e+04  7.07842000e+06  1.00000000e+00
  9.08827973e+05 -5.03636407e+05  7.00174348e+06]","[ 1.67520960e+09  4.18504578e+04  7.07878000e+06  0.00000000e+00
  9.08893722e+05 -5.03721852e+05  7.00209274e+06]",1767379200
"[ 1.67520960e+09  4.19211762e+04  7.08028500e+06  1.00000000e+00
 -3.25142426e+06  3.26960994e+06 -5.37292535e+06]","[ 1.67520960e+09  4.18430407e+04  7.08037400e+06  1.00000000e+00
 -3.25146525e+06  3.26931608e+06 -5.37319663e+06]",1883726300
"[ 1.67520960e+09  4.19259836e+04  7.07740100e+06  1.00000000e+00
 -7.46511041e+05  1.79733278e+06 -6.80455150e+06]","[ 1.67520960e+09  4.19211649e+04  7.07753200e+06  1.00000000e+00
 -7.47159448e+05  1.79738122e+06 -6.80460379e+06]",1937421200
"[ 1.67520960e+09  4.18430407e+04  7.08037400e+06  1.00000000e+00
 -3.10982116e+05 -2.00853771e+06  6.78238619e+06]","[ 1.67520960e+09  4.17411762e+04  7.08034680e+06  1.00000000e+00
 -3.10291246e+05 -2.00854702e+06  6.78238668e+06]",1946638300
"[ 1.67520960e+09  4.18794853e+04  7.07707100e+06  1.00000000e+00
  6.22200129e+06 -1.35778122e+06  3.08675623e+06]","[ 1.67520960e+09  4.17459836e+04  7.07744162e+06  1.00000000e+00
  6.22258938e+06 -1.35773518e+06  3.08644075e+06]",1958271600
"[ 1.67520960e+09  4.18794853e+04  7.07707100e+06  1.00000000e+00
  6.53980698e+06 -1.19259918e+06  2.42766675e+06]","[ 1.67520960e+09  4.17459836e+04  7.07744162e+06  1.00000000e+00
  6.54033629e+06 -1.19254737e+06  2.42734667e+06]",1958271700
"[ 1.67520960e+09  4.18794853e+04  7.07707100e+06  1.00000000e+00
  6.78414051e+06 -1.01401876e+06  1.74130338e+06]","[ 1.67520960e+09  4.17459836e+04  7.07744162e+06  1.00000000e+00
  6.78461664e+06 -1.01396387e+06  1.74098659e+06]",1958271800
"[ 1.67520960e+09  4.18794853e+04  7.07707100e+06  1.00000000e+00
  6.95225689e+06 -8.24046241e+05  1.03537716e+06]","[ 1.67520960e+09  4.17459836e+04  7.07744162e+06  1.00000000e+00
  6.95268645e+06 -8.23990661e+05  1.03507027e+06]",1958271900
"[ 1.67520960e+09  4.18794853e+04  7.07707100e+06  1.00000000e+00
  7.04226740e+06 -6.24815885e+05  3.17818888e+05]","[ 1.67520960e+09  4.17459836e+04  7.07744162e+06  1.00000000e+00
  7.04265782e+06 -6.24761698e+05  3.17527177e+05]",1958272000
