object1,object2,time
"[ 1.67520960e+09  4.31168883e+04  6.94568500e+06  1.00000000e+00
  2.92278236e+06 -5.82595048e+06  2.39962173e+06]","[ 1.67520960e+09  4.30887169e+04  6.94593000e+06  1.00000000e+00
  2.92260750e+06 -5.82620631e+06  2.39992271e+06]",1760651700
"[ 1.67520960e+09  4.31162082e+04  6.94566100e+06  1.00000000e+00
  1.71111494e+06 -4.43834503e+06  5.06116447e+06]","[ 1.67520960e+09  4.30887169e+04  6.94593000e+06  1.00000000e+00
  1.71131594e+06 -4.43862350e+06  5.06122147e+06]",1767145000
"[ 1.67520960e+09  4.31162082e+04  6.94566100e+06  1.00000000e+00
 -1.19612586e+06  3.74282479e+06 -5.72736870e+06]","[ 1.67520960e+09  4.31168883e+04  6.94568500e+06  1.00000000e+00
 -1.19598643e+06  3.74243506e+06 -5.72768159e+06]",1833403700
"[ 1.67520960e+09  4.31162082e+04  6.94566100e+06  1.00000000e+00
  1.20406713e+06 -3.75393841e+06  5.71842421e+06]","[ 1.67520960e+09  4.31168883e+04  6.94568500e+06  1.00000000e+00
  1.20407719e+06 -3.75400593e+06  5.71840692e+06]",1833418100
"[ 1.67520960e+09  4.31162082e+04  6.94566100e+06  1.00000000e+00
 -1.21200174e+06  3.76503129e+06 -5.70944813e+06]","[ 1.67520960e+09  4.31168883e+04  6.94568500e+06  1.00000000e+00
 -1.21216082e+06  3.76555459e+06 -5.70909843e+06]",1833432500
"[ 1.67520960e+09  4.31162082e+04  6.94566100e+06  1.00000000e+00
  2.31569066e+06 -5.17635486e+06  4.01062762e+06]","[ 1.67520960e+09  4.30796349e+04  6.94617100e+06  0.00000000e+00
  2.31624888e+06 -5.17655771e+06  4.01092670e+06]",1870903700
"[ 1.67520960e+09  4.31111725e+04  6.94688000e+06  1.00000000e+00
 -4.96741968e+06 -4.74300821e+06 -1.04295571e+06]","[ 1.67520960e+09  4.30563853e+04  6.94690300e+06  1.00000000e+00
 -4.96741338e+06 -4.74314041e+06 -1.04253760e+06]",1969037400
