object1,object2,time
"[ 1.67520960e+09  4.40261696e+04  6.84506900e+06  0.00000000e+00
  3.84267134e+06  2.34833308e+06 -5.15501487e+06]","[ 1.67520960e+09  4.40806473e+04  6.84563600e+06  1.00000000e+00
  3.84307110e+06  2.34409073e+06 -5.15740007e+06]",1675238870
"[ 1.67520960e+09  4.40261696e+04  6.84506900e+06  0.00000000e+00
 -3.83964114e+06 -2.34518448e+06  5.15870481e+06]","[ 1.67520960e+09  4.40806473e+04  6.84563600e+06  1.00000000e+00
 -3.84135991e+06 -2.34366088e+06  5.15887003e+06]",1675247325
"[1.67520960e+09 4.36510546e+04 6.84509272e+06 1.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00]","[1.67520960e+009 4.36516436e+004 6.84502893e+006 1.00000000e+000
 0.00000000e+000 7.05615699e-308 0.00000000e+000]",1675247330
"[ 1.67520960e+09  4.40125802e+04  6.84743800e+06  0.00000000e+00
 -4.45002253e+06 -4.35000219e+06 -2.85695424e+06]","[ 1.67520960e+09  4.36510546e+04  6.84509272e+06  1.00000000e+00
 -4.44950050e+06 -4.35069444e+06 -2.85108708e+06]",1675250120
"[ 1.67520960e+09  4.40261696e+04  6.84506900e+06  0.00000000e+00
  3.83660825e+06  2.34203426e+06 -5.16239114e+06]","[ 1.67520960e+09  4.40806473e+04  6.84563600e+06  1.00000000e+00
  3.83964829e+06  2.34323077e+06 -5.16033941e+06]",1675255780
"[ 1.67520960e+09  4.40641190e+04  6.84630100e+06  0.00000000e+00
 -4.56225264e+05  7.56821873e+05  6.78902913e+06]","[ 1.67520960e+09  4.36619396e+04  6.84513713e+06  1.00000000e+00
 -4.61653858e+05  7.55379815e+05  6.78764903e+06]",1675270305
"[ 1.67520960e+009  4.36916462e+004  6.84497367e+006  1.00000000e+000
  0.00000000e+000  0.00000000e+000 -1.38738785e-308]","[1.67520960e+09 4.36958130e+04 6.84514923e+06 1.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00]",1675270310
"[1.67520960e+09 4.36958130e+04 6.84514923e+06 1.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00]","[1.67520960e+09 4.36831116e+04 6.84516841e+06 1.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00]",1675270315
"[1.67520960e+009 4.36831116e+004 6.84516841e+006 1.00000000e+000
 0.00000000e+000 7.78548659e-053 1.39285631e-307]","[ 1.67520960e+009  4.36396977e+004  6.84509292e+006  1.00000000e+000
 -1.76673625e-164  0.00000000e+000  0.00000000e+000]",1675270320
"[1.67520960e+09 4.36396977e+04 6.84509292e+06 1.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00]","[1.67520960e+09 4.32672267e+04 6.84509293e+06 1.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00]",1675270325
"[ 1.67520960e+009  4.33151979e+004  6.84500926e+006  1.00000000e+000
  0.00000000e+000  0.00000000e+000 -1.01066221e-307]","[1.67520960e+09 4.32782626e+04 6.84510304e+06 1.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00]",1675270330
"[ 1.67520960e+09  4.40641190e+04  6.84630100e+06  0.00000000e+00
  4.49520140e+05 -7.62545381e+05 -6.78883595e+06]","[ 1.67520960e+09  4.36619396e+04  6.84513713e+06  1.00000000e+00
  4.48330242e+05 -7.60573220e+05 -6.78796219e+06]",1675273125
"[1.67520960e+09 4.40084337e+04 6.84442200e+06 0.00000000e+00
 4.47110308e+05 1.04069340e+06 6.75004905e+06]","[1.67520960e+09 4.32672267e+04 6.84509293e+06 1.00000000e+00
 4.50975917e+05 1.03606933e+06 6.75118348e+06]",1675297600
"[1.67520960e+09 4.32782626e+04 6.84510304e+06 1.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00]","[ 1.67520960e+009  4.36701357e+004  6.84740738e+006  1.00000000e+000
  0.00000000e+000  0.00000000e+000 -1.16961124e-205]",1675297605
"[ 1.67520960e+009  4.29379249e+004  6.84508641e+006  1.00000000e+000
 -9.73519088e-304 -9.73519088e-304 -9.73492015e-304]","[ 1.67520960e+009  4.28887788e+004  6.84520295e+006  1.00000000e+000
 -6.39859985e-303 -4.21852336e-303 -6.39862066e-303]",1675297610
