object1,object2,time
"[ 1.67520960e+09  4.31065272e+04  6.97481200e+06  1.00000000e+00
  1.44781799e+06 -9.69267866e+05  6.75369123e+06]","[ 1.67520960e+09  4.27933408e+04  6.97487300e+06  0.00000000e+00
  1.44832131e+06 -9.69462854e+05  6.75361833e+06]",1782631400
"[ 1.67520960e+09  4.28010779e+04  6.97741900e+06  1.00000000e+00
 -7.47798092e+05 -1.66953959e+06  6.73333584e+06]","[ 1.67520960e+09  4.28232492e+04  6.97785900e+06  1.00000000e+00
 -7.47771991e+05 -1.66997266e+06  6.73368730e+06]",1848648600
"[ 1.67520960e+09  4.27740575e+04  6.97665800e+06  1.00000000e+00
 -3.03940990e+05 -4.75593690e+06 -5.09533521e+06]","[ 1.67520960e+09  4.28356739e+04  6.97675400e+06  1.00000000e+00
 -3.04517282e+05 -4.75604063e+06 -5.09533542e+06]",1858993900
"[ 1.67520960e+09  4.28378384e+04  6.97540500e+06  1.00000000e+00
  2.33649213e+06 -1.04646559e+06  6.48860456e+06]","[ 1.67520960e+09  4.27917482e+04  6.97556300e+06  1.00000000e+00
  2.33683565e+06 -1.04626826e+06  6.48868254e+06]",1948374700
"[1.67520960e+09 4.27786951e+04 6.97609700e+06 0.00000000e+00
 5.99228910e+06 1.64253336e+06 3.17182675e+06]","[1.67520960e+09 4.25940575e+04 6.97668674e+06 1.00000000e+00
 5.99266868e+06 1.64292901e+06 3.17220180e+06]",1977696000
"[1.67520960e+09 4.27786951e+04 6.97609700e+06 0.00000000e+00
 5.64385704e+06 2.26646063e+06 3.41701087e+06]","[1.67520960e+09 4.25940575e+04 6.97668674e+06 1.00000000e+00
 5.64422798e+06 2.26682216e+06 3.41736239e+06]",1977696100
"[1.67520960e+09 4.27786951e+04 6.97609700e+06 0.00000000e+00
 5.22922787e+06 2.86380446e+06 3.62211668e+06]","[1.67520960e+09 4.25940575e+04 6.97668674e+06 1.00000000e+00
 5.22960260e+06 2.86413435e+06 3.62245069e+06]",1977696200
"[1.67520960e+09 4.27786951e+04 6.97609700e+06 0.00000000e+00
 4.75326480e+06 3.42755857e+06 3.78473848e+06]","[1.67520960e+09 4.25940575e+04 6.97668674e+06 1.00000000e+00
 4.75365445e+06 3.42786147e+06 3.78506183e+06]",1977696300
"[1.67520960e+09 4.27786951e+04 6.97609700e+06 0.00000000e+00
 4.22155042e+06 3.95111065e+06 3.90296888e+06]","[1.67520960e+09 4.25940575e+04 6.97668674e+06 1.00000000e+00
 4.22196455e+06 3.95139319e+06 3.90328902e+06]",1977696400
"[1.67520960e+09 4.27786951e+04 6.97609700e+06 0.00000000e+00
 3.64032124e+06 4.42831993e+06 3.97542113e+06]","[1.67520960e+09 4.25940575e+04 6.97668674e+06 1.00000000e+00
 3.64076753e+06 4.42859054e+06 3.97574590e+06]",1977696500
"[1.67520960e+09 4.27786951e+04 6.97609700e+06 0.00000000e+00
 3.01639453e+06 4.85358921e+06 4.00124545e+06]","[1.67520960e+09 4.25940575e+04 6.97668674e+06 1.00000000e+00
 3.01687857e+06 4.85385787e+06 4.00158286e+06]",1977696600
"[1.67520960e+09 4.27786951e+04 6.97609700e+06 0.00000000e+00
 2.35708836e+06 5.22193047e+06 3.98013894e+06]","[1.67520960e+09 4.25940575e+04 6.97668674e+06 1.00000000e+00
 2.35761344e+06 5.22220844e+06 3.98049692e+06]",1977696700
