Epoch = 1, ER Nodes = 1000, Initial probability = 0.0009, GC Size = 24, Avg Degree = 0.90
Epoch = 2, ER Nodes = 1014, Initial probability = 0.0009, GC Size = 45, Avg Degree = 0.91
Epoch = 3, ER Nodes = 1025, Initial probability = 0.0009, GC Size = 39, Avg Degree = 0.92
Epoch = 4, ER Nodes = 1032, Initial probability = 0.0009, GC Size = 33, Avg Degree = 0.93
Epoch = 5, ER Nodes = 1042, Initial probability = 0.0009, GC Size = 59, Avg Degree = 0.94
Epoch = 6, ER Nodes = 1052, Initial probability = 0.0009, GC Size = 72, Avg Degree = 0.94
Epoch = 7, ER Nodes = 1063, Initial probability = 0.0009, GC Size = 73, Avg Degree = 0.96
Epoch = 8, ER Nodes = 1075, Initial probability = 0.0009, GC Size = 43, Avg Degree = 0.97
Epoch = 9, ER Nodes = 1084, Initial probability = 0.0009, GC Size = 53, Avg Degree = 0.97
Epoch = 10, ER Nodes = 1092, Initial probability = 0.0009, GC Size = 36, Avg Degree = 0.98
Epoch = 11, ER Nodes = 1098, Initial probability = 0.0009, GC Size = 81, Avg Degree = 0.99
Epoch = 12, ER Nodes = 1109, Initial probability = 0.0009, GC Size = 125, Avg Degree = 1.00
Epoch = 13, ER Nodes = 1122, Initial probability = 0.0009, GC Size = 54, Avg Degree = 1.01
Epoch = 14, ER Nodes = 1139, Initial probability = 0.0009, GC Size = 93, Avg Degree = 1.02
Epoch = 15, ER Nodes = 1154, Initial probability = 0.0009, GC Size = 112, Avg Degree = 1.04
Epoch = 16, ER Nodes = 1167, Initial probability = 0.0009, GC Size = 189, Avg Degree = 1.05
Epoch = 17, ER Nodes = 1178, Initial probability = 0.0009, GC Size = 186, Avg Degree = 1.06
Epoch = 18, ER Nodes = 1188, Initial probability = 0.0009, GC Size = 105, Avg Degree = 1.07
Epoch = 19, ER Nodes = 1209, Initial probability = 0.0009, GC Size = 324, Avg Degree = 1.09
Epoch = 20, ER Nodes = 1224, Initial probability = 0.0009, GC Size = 57, Avg Degree = 1.10
Epoch = 21, ER Nodes = 1231, Initial probability = 0.0009, GC Size = 301, Avg Degree = 1.11
Epoch = 22, ER Nodes = 1244, Initial probability = 0.0009, GC Size = 151, Avg Degree = 1.12
Epoch = 23, ER Nodes = 1263, Initial probability = 0.0009, GC Size = 275, Avg Degree = 1.14
Epoch = 24, ER Nodes = 1272, Initial probability = 0.0009, GC Size = 168, Avg Degree = 1.14
Epoch = 25, ER Nodes = 1288, Initial probability = 0.0009, GC Size = 417, Avg Degree = 1.16
Epoch = 26, ER Nodes = 1300, Initial probability = 0.0009, GC Size = 357, Avg Degree = 1.17
Epoch = 27, ER Nodes = 1318, Initial probability = 0.0009, GC Size = 197, Avg Degree = 1.19
Epoch = 28, ER Nodes = 1334, Initial probability = 0.0009, GC Size = 489, Avg Degree = 1.20
Epoch = 29, ER Nodes = 1350, Initial probability = 0.0009, GC Size = 231, Avg Degree = 1.21
Epoch = 30, ER Nodes = 1362, Initial probability = 0.0009, GC Size = 512, Avg Degree = 1.22
Epoch = 31, ER Nodes = 1380, Initial probability = 0.0009, GC Size = 479, Avg Degree = 1.24
Epoch = 32, ER Nodes = 1403, Initial probability = 0.0009, GC Size = 623, Avg Degree = 1.26
Epoch = 33, ER Nodes = 1420, Initial probability = 0.0009, GC Size = 507, Avg Degree = 1.28
Epoch = 34, ER Nodes = 1441, Initial probability = 0.0009, GC Size = 512, Avg Degree = 1.29
Epoch = 35, ER Nodes = 1460, Initial probability = 0.0009, GC Size = 765, Avg Degree = 1.31
Epoch = 36, ER Nodes = 1472, Initial probability = 0.0009, GC Size = 704, Avg Degree = 1.32
Epoch = 37, ER Nodes = 1488, Initial probability = 0.0009, GC Size = 599, Avg Degree = 1.34
Epoch = 38, ER Nodes = 1511, Initial probability = 0.0009, GC Size = 674, Avg Degree = 1.36
Epoch = 39, ER Nodes = 1529, Initial probability = 0.0009, GC Size = 822, Avg Degree = 1.37
Epoch = 40, ER Nodes = 1549, Initial probability = 0.0009, GC Size = 757, Avg Degree = 1.39
Epoch = 41, ER Nodes = 1574, Initial probability = 0.0009, GC Size = 764, Avg Degree = 1.42
Epoch = 42, ER Nodes = 1600, Initial probability = 0.0009, GC Size = 857, Avg Degree = 1.44
Epoch = 43, ER Nodes = 1631, Initial probability = 0.0009, GC Size = 910, Avg Degree = 1.47
Epoch = 44, ER Nodes = 1646, Initial probability = 0.0009, GC Size = 925, Avg Degree = 1.48
Epoch = 45, ER Nodes = 1672, Initial probability = 0.0009, GC Size = 960, Avg Degree = 1.50
Epoch = 46, ER Nodes = 1695, Initial probability = 0.0009, GC Size = 1053, Avg Degree = 1.52
Epoch = 47, ER Nodes = 1709, Initial probability = 0.0009, GC Size = 1034, Avg Degree = 1.54
Epoch = 48, ER Nodes = 1735, Initial probability = 0.0009, GC Size = 1018, Avg Degree = 1.56
Epoch = 49, ER Nodes = 1763, Initial probability = 0.0009, GC Size = 1125, Avg Degree = 1.58
Epoch = 50, ER Nodes = 1795, Initial probability = 0.0009, GC Size = 1186, Avg Degree = 1.61
Epoch = 51, ER Nodes = 1826, Initial probability = 0.0009, GC Size = 1232, Avg Degree = 1.64
Epoch = 52, ER Nodes = 1854, Initial probability = 0.0009, GC Size = 1267, Avg Degree = 1.67
Epoch = 53, ER Nodes = 1886, Initial probability = 0.0009, GC Size = 1285, Avg Degree = 1.70
Epoch = 54, ER Nodes = 1908, Initial probability = 0.0009, GC Size = 1367, Avg Degree = 1.72
Epoch = 55, ER Nodes = 1936, Initial probability = 0.0009, GC Size = 1408, Avg Degree = 1.74
Epoch = 56, ER Nodes = 1974, Initial probability = 0.0009, GC Size = 1423, Avg Degree = 1.78
Epoch = 57, ER Nodes = 2005, Initial probability = 0.0009, GC Size = 1469, Avg Degree = 1.80
Epoch = 58, ER Nodes = 2040, Initial probability = 0.0009, GC Size = 1535, Avg Degree = 1.83
Epoch = 59, ER Nodes = 2075, Initial probability = 0.0009, GC Size = 1574, Avg Degree = 1.87
Epoch = 60, ER Nodes = 2116, Initial probability = 0.0009, GC Size = 1640, Avg Degree = 1.90
Epoch = 61, ER Nodes = 2165, Initial probability = 0.0009, GC Size = 1665, Avg Degree = 1.95
Epoch = 62, ER Nodes = 2198, Initial probability = 0.0009, GC Size = 1769, Avg Degree = 1.98
Epoch = 63, ER Nodes = 2253, Initial probability = 0.0009, GC Size = 1792, Avg Degree = 2.03
Epoch = 64, ER Nodes = 2296, Initial probability = 0.0009, GC Size = 1865, Avg Degree = 2.07
