Epoch = 1, ER Nodes = 1000, Initial probability = 0.0007222222222222222, GC Size = 42, Avg Degree = 0.72
Epoch = 2, ER Nodes = 1005, Initial probability = 0.0007222222222222222, GC Size = 22, Avg Degree = 0.72
Epoch = 3, ER Nodes = 1009, Initial probability = 0.0007222222222222222, GC Size = 31, Avg Degree = 0.73
Epoch = 4, ER Nodes = 1017, Initial probability = 0.0007222222222222222, GC Size = 24, Avg Degree = 0.73
Epoch = 5, ER Nodes = 1030, Initial probability = 0.0007222222222222222, GC Size = 16, Avg Degree = 0.74
Epoch = 6, ER Nodes = 1036, Initial probability = 0.0007222222222222222, GC Size = 21, Avg Degree = 0.75
Epoch = 7, ER Nodes = 1049, Initial probability = 0.0007222222222222222, GC Size = 20, Avg Degree = 0.76
Epoch = 8, ER Nodes = 1059, Initial probability = 0.0007222222222222222, GC Size = 40, Avg Degree = 0.76
Epoch = 9, ER Nodes = 1063, Initial probability = 0.0007222222222222222, GC Size = 13, Avg Degree = 0.77
Epoch = 10, ER Nodes = 1066, Initial probability = 0.0007222222222222222, GC Size = 34, Avg Degree = 0.77
Epoch = 11, ER Nodes = 1072, Initial probability = 0.0007222222222222222, GC Size = 19, Avg Degree = 0.77
Epoch = 12, ER Nodes = 1080, Initial probability = 0.0007222222222222222, GC Size = 28, Avg Degree = 0.78
Epoch = 13, ER Nodes = 1088, Initial probability = 0.0007222222222222222, GC Size = 36, Avg Degree = 0.78
Epoch = 14, ER Nodes = 1097, Initial probability = 0.0007222222222222222, GC Size = 26, Avg Degree = 0.79
Epoch = 15, ER Nodes = 1103, Initial probability = 0.0007222222222222222, GC Size = 21, Avg Degree = 0.79
Epoch = 16, ER Nodes = 1116, Initial probability = 0.0007222222222222222, GC Size = 38, Avg Degree = 0.80
Epoch = 17, ER Nodes = 1128, Initial probability = 0.0007222222222222222, GC Size = 36, Avg Degree = 0.81
Epoch = 18, ER Nodes = 1134, Initial probability = 0.0007222222222222222, GC Size = 39, Avg Degree = 0.82
Epoch = 19, ER Nodes = 1142, Initial probability = 0.0007222222222222222, GC Size = 22, Avg Degree = 0.82
Epoch = 20, ER Nodes = 1156, Initial probability = 0.0007222222222222222, GC Size = 65, Avg Degree = 0.83
Epoch = 21, ER Nodes = 1164, Initial probability = 0.0007222222222222222, GC Size = 45, Avg Degree = 0.84
Epoch = 22, ER Nodes = 1173, Initial probability = 0.0007222222222222222, GC Size = 46, Avg Degree = 0.85
Epoch = 23, ER Nodes = 1184, Initial probability = 0.0007222222222222222, GC Size = 37, Avg Degree = 0.85
Epoch = 24, ER Nodes = 1193, Initial probability = 0.0007222222222222222, GC Size = 43, Avg Degree = 0.86
Epoch = 25, ER Nodes = 1209, Initial probability = 0.0007222222222222222, GC Size = 33, Avg Degree = 0.87
Epoch = 26, ER Nodes = 1216, Initial probability = 0.0007222222222222222, GC Size = 27, Avg Degree = 0.88
Epoch = 27, ER Nodes = 1224, Initial probability = 0.0007222222222222222, GC Size = 64, Avg Degree = 0.88
Epoch = 28, ER Nodes = 1232, Initial probability = 0.0007222222222222222, GC Size = 46, Avg Degree = 0.89
Epoch = 29, ER Nodes = 1242, Initial probability = 0.0007222222222222222, GC Size = 32, Avg Degree = 0.90
Epoch = 30, ER Nodes = 1249, Initial probability = 0.0007222222222222222, GC Size = 85, Avg Degree = 0.90
Epoch = 31, ER Nodes = 1260, Initial probability = 0.0007222222222222222, GC Size = 59, Avg Degree = 0.91
Epoch = 32, ER Nodes = 1277, Initial probability = 0.0007222222222222222, GC Size = 166, Avg Degree = 0.92
Epoch = 33, ER Nodes = 1294, Initial probability = 0.0007222222222222222, GC Size = 119, Avg Degree = 0.93
Epoch = 34, ER Nodes = 1311, Initial probability = 0.0007222222222222222, GC Size = 25, Avg Degree = 0.95
Epoch = 35, ER Nodes = 1322, Initial probability = 0.0007222222222222222, GC Size = 41, Avg Degree = 0.95
Epoch = 36, ER Nodes = 1331, Initial probability = 0.0007222222222222222, GC Size = 63, Avg Degree = 0.96
Epoch = 37, ER Nodes = 1340, Initial probability = 0.0007222222222222222, GC Size = 150, Avg Degree = 0.97
Epoch = 38, ER Nodes = 1351, Initial probability = 0.0007222222222222222, GC Size = 182, Avg Degree = 0.97
Epoch = 39, ER Nodes = 1367, Initial probability = 0.0007222222222222222, GC Size = 88, Avg Degree = 0.99
Epoch = 40, ER Nodes = 1374, Initial probability = 0.0007222222222222222, GC Size = 56, Avg Degree = 0.99
Epoch = 41, ER Nodes = 1386, Initial probability = 0.0007222222222222222, GC Size = 118, Avg Degree = 1.00
Epoch = 42, ER Nodes = 1393, Initial probability = 0.0007222222222222222, GC Size = 199, Avg Degree = 1.01
Epoch = 43, ER Nodes = 1404, Initial probability = 0.0007222222222222222, GC Size = 126, Avg Degree = 1.01
Epoch = 44, ER Nodes = 1413, Initial probability = 0.0007222222222222222, GC Size = 56, Avg Degree = 1.02
Epoch = 45, ER Nodes = 1428, Initial probability = 0.0007222222222222222, GC Size = 130, Avg Degree = 1.03
Epoch = 46, ER Nodes = 1445, Initial probability = 0.0007222222222222222, GC Size = 185, Avg Degree = 1.04
Epoch = 47, ER Nodes = 1464, Initial probability = 0.0007222222222222222, GC Size = 250, Avg Degree = 1.06
Epoch = 48, ER Nodes = 1478, Initial probability = 0.0007222222222222222, GC Size = 106, Avg Degree = 1.07
Epoch = 49, ER Nodes = 1493, Initial probability = 0.0007222222222222222, GC Size = 252, Avg Degree = 1.08
Epoch = 50, ER Nodes = 1504, Initial probability = 0.0007222222222222222, GC Size = 138, Avg Degree = 1.09
Epoch = 51, ER Nodes = 1520, Initial probability = 0.0007222222222222222, GC Size = 169, Avg Degree = 1.10
Epoch = 52, ER Nodes = 1541, Initial probability = 0.0007222222222222222, GC Size = 85, Avg Degree = 1.11
Epoch = 53, ER Nodes = 1557, Initial probability = 0.0007222222222222222, GC Size = 256, Avg Degree = 1.12
Epoch = 54, ER Nodes = 1575, Initial probability = 0.0007222222222222222, GC Size = 254, Avg Degree = 1.14
Epoch = 55, ER Nodes = 1595, Initial probability = 0.0007222222222222222, GC Size = 199, Avg Degree = 1.15
Epoch = 56, ER Nodes = 1611, Initial probability = 0.0007222222222222222, GC Size = 515, Avg Degree = 1.16
Epoch = 57, ER Nodes = 1636, Initial probability = 0.0007222222222222222, GC Size = 570, Avg Degree = 1.18
Epoch = 58, ER Nodes = 1654, Initial probability = 0.0007222222222222222, GC Size = 360, Avg Degree = 1.19
Epoch = 59, ER Nodes = 1680, Initial probability = 0.0007222222222222222, GC Size = 496, Avg Degree = 1.21
Epoch = 60, ER Nodes = 1693, Initial probability = 0.0007222222222222222, GC Size = 541, Avg Degree = 1.22
Epoch = 61, ER Nodes = 1719, Initial probability = 0.0007222222222222222, GC Size = 680, Avg Degree = 1.24
Epoch = 62, ER Nodes = 1746, Initial probability = 0.0007222222222222222, GC Size = 685, Avg Degree = 1.26
Epoch = 63, ER Nodes = 1759, Initial probability = 0.0007222222222222222, GC Size = 724, Avg Degree = 1.27
Epoch = 64, ER Nodes = 1781, Initial probability = 0.0007222222222222222, GC Size = 723, Avg Degree = 1.28
Epoch = 65, ER Nodes = 1804, Initial probability = 0.0007222222222222222, GC Size = 750, Avg Degree = 1.30
