Epoch = 1, ER Nodes = 1000, Initial probability = 0.0009, GC Size = 23, Avg Degree = 0.90
Epoch = 2, ER Nodes = 1011, Initial probability = 0.0009, GC Size = 41, Avg Degree = 0.91
Epoch = 3, ER Nodes = 1018, Initial probability = 0.0009, GC Size = 29, Avg Degree = 0.91
Epoch = 4, ER Nodes = 1030, Initial probability = 0.0009, GC Size = 54, Avg Degree = 0.92
Epoch = 5, ER Nodes = 1042, Initial probability = 0.0009, GC Size = 62, Avg Degree = 0.94
Epoch = 6, ER Nodes = 1052, Initial probability = 0.0009, GC Size = 49, Avg Degree = 0.94
Epoch = 7, ER Nodes = 1058, Initial probability = 0.0009, GC Size = 39, Avg Degree = 0.95
Epoch = 8, ER Nodes = 1066, Initial probability = 0.0009, GC Size = 42, Avg Degree = 0.96
Epoch = 9, ER Nodes = 1067, Initial probability = 0.0009, GC Size = 121, Avg Degree = 0.96
Epoch = 10, ER Nodes = 1079, Initial probability = 0.0009, GC Size = 45, Avg Degree = 0.97
Epoch = 11, ER Nodes = 1089, Initial probability = 0.0009, GC Size = 53, Avg Degree = 0.98
Epoch = 12, ER Nodes = 1094, Initial probability = 0.0009, GC Size = 142, Avg Degree = 0.98
Epoch = 13, ER Nodes = 1110, Initial probability = 0.0009, GC Size = 136, Avg Degree = 1.00
Epoch = 14, ER Nodes = 1123, Initial probability = 0.0009, GC Size = 69, Avg Degree = 1.01
Epoch = 15, ER Nodes = 1132, Initial probability = 0.0009, GC Size = 95, Avg Degree = 1.02
Epoch = 16, ER Nodes = 1147, Initial probability = 0.0009, GC Size = 122, Avg Degree = 1.03
Epoch = 17, ER Nodes = 1157, Initial probability = 0.0009, GC Size = 221, Avg Degree = 1.04
Epoch = 18, ER Nodes = 1169, Initial probability = 0.0009, GC Size = 200, Avg Degree = 1.05
Epoch = 19, ER Nodes = 1176, Initial probability = 0.0009, GC Size = 252, Avg Degree = 1.06
Epoch = 20, ER Nodes = 1189, Initial probability = 0.0009, GC Size = 42, Avg Degree = 1.07
Epoch = 21, ER Nodes = 1201, Initial probability = 0.0009, GC Size = 162, Avg Degree = 1.08
Epoch = 22, ER Nodes = 1217, Initial probability = 0.0009, GC Size = 187, Avg Degree = 1.09
Epoch = 23, ER Nodes = 1233, Initial probability = 0.0009, GC Size = 281, Avg Degree = 1.11
Epoch = 24, ER Nodes = 1247, Initial probability = 0.0009, GC Size = 202, Avg Degree = 1.12
Epoch = 25, ER Nodes = 1268, Initial probability = 0.0009, GC Size = 313, Avg Degree = 1.14
Epoch = 26, ER Nodes = 1285, Initial probability = 0.0009, GC Size = 328, Avg Degree = 1.15
