Epoch = 1, ER Nodes = 1000, Initial probability = 0.0006333333333333333, GC Size = 10, Avg Degree = 0.63
Epoch = 2, ER Nodes = 1007, Initial probability = 0.0006333333333333333, GC Size = 17, Avg Degree = 0.64
Epoch = 3, ER Nodes = 1015, Initial probability = 0.0006333333333333333, GC Size = 16, Avg Degree = 0.64
Epoch = 4, ER Nodes = 1022, Initial probability = 0.0006333333333333333, GC Size = 24, Avg Degree = 0.65
Epoch = 5, ER Nodes = 1030, Initial probability = 0.0006333333333333333, GC Size = 13, Avg Degree = 0.65
Epoch = 6, ER Nodes = 1039, Initial probability = 0.0006333333333333333, GC Size = 13, Avg Degree = 0.66
Epoch = 7, ER Nodes = 1047, Initial probability = 0.0006333333333333333, GC Size = 24, Avg Degree = 0.66
Epoch = 8, ER Nodes = 1052, Initial probability = 0.0006333333333333333, GC Size = 29, Avg Degree = 0.67
Epoch = 9, ER Nodes = 1058, Initial probability = 0.0006333333333333333, GC Size = 14, Avg Degree = 0.67
Epoch = 10, ER Nodes = 1068, Initial probability = 0.0006333333333333333, GC Size = 15, Avg Degree = 0.67
Epoch = 11, ER Nodes = 1077, Initial probability = 0.0006333333333333333, GC Size = 21, Avg Degree = 0.68
Epoch = 12, ER Nodes = 1082, Initial probability = 0.0006333333333333333, GC Size = 20, Avg Degree = 0.68
Epoch = 13, ER Nodes = 1088, Initial probability = 0.0006333333333333333, GC Size = 25, Avg Degree = 0.69
Epoch = 14, ER Nodes = 1097, Initial probability = 0.0006333333333333333, GC Size = 19, Avg Degree = 0.69
Epoch = 15, ER Nodes = 1104, Initial probability = 0.0006333333333333333, GC Size = 26, Avg Degree = 0.70
Epoch = 16, ER Nodes = 1110, Initial probability = 0.0006333333333333333, GC Size = 22, Avg Degree = 0.70
Epoch = 17, ER Nodes = 1112, Initial probability = 0.0006333333333333333, GC Size = 33, Avg Degree = 0.70
Epoch = 18, ER Nodes = 1117, Initial probability = 0.0006333333333333333, GC Size = 20, Avg Degree = 0.71
Epoch = 19, ER Nodes = 1122, Initial probability = 0.0006333333333333333, GC Size = 12, Avg Degree = 0.71
Epoch = 20, ER Nodes = 1127, Initial probability = 0.0006333333333333333, GC Size = 19, Avg Degree = 0.71
Epoch = 21, ER Nodes = 1132, Initial probability = 0.0006333333333333333, GC Size = 26, Avg Degree = 0.72
Epoch = 22, ER Nodes = 1140, Initial probability = 0.0006333333333333333, GC Size = 31, Avg Degree = 0.72
