Epoch = 1, ER Nodes = 1000, Initial probability = 0.0008111111111111111, GC Size = 39, Avg Degree = 0.81
Epoch = 2, ER Nodes = 1012, Initial probability = 0.0008111111111111111, GC Size = 27, Avg Degree = 0.82
Epoch = 3, ER Nodes = 1022, Initial probability = 0.0008111111111111111, GC Size = 22, Avg Degree = 0.83
Epoch = 4, ER Nodes = 1033, Initial probability = 0.0008111111111111111, GC Size = 65, Avg Degree = 0.84
Epoch = 5, ER Nodes = 1041, Initial probability = 0.0008111111111111111, GC Size = 65, Avg Degree = 0.84
Epoch = 6, ER Nodes = 1049, Initial probability = 0.0008111111111111111, GC Size = 39, Avg Degree = 0.85
Epoch = 7, ER Nodes = 1060, Initial probability = 0.0008111111111111111, GC Size = 43, Avg Degree = 0.86
Epoch = 8, ER Nodes = 1066, Initial probability = 0.0008111111111111111, GC Size = 68, Avg Degree = 0.86
Epoch = 9, ER Nodes = 1082, Initial probability = 0.0008111111111111111, GC Size = 34, Avg Degree = 0.88
Epoch = 10, ER Nodes = 1090, Initial probability = 0.0008111111111111111, GC Size = 29, Avg Degree = 0.88
Epoch = 11, ER Nodes = 1104, Initial probability = 0.0008111111111111111, GC Size = 71, Avg Degree = 0.89
Epoch = 12, ER Nodes = 1112, Initial probability = 0.0008111111111111111, GC Size = 49, Avg Degree = 0.90
Epoch = 13, ER Nodes = 1119, Initial probability = 0.0008111111111111111, GC Size = 31, Avg Degree = 0.91
Epoch = 14, ER Nodes = 1127, Initial probability = 0.0008111111111111111, GC Size = 60, Avg Degree = 0.91
Epoch = 15, ER Nodes = 1137, Initial probability = 0.0008111111111111111, GC Size = 45, Avg Degree = 0.92
Epoch = 16, ER Nodes = 1146, Initial probability = 0.0008111111111111111, GC Size = 28, Avg Degree = 0.93
Epoch = 17, ER Nodes = 1158, Initial probability = 0.0008111111111111111, GC Size = 66, Avg Degree = 0.94
Epoch = 18, ER Nodes = 1171, Initial probability = 0.0008111111111111111, GC Size = 42, Avg Degree = 0.95
Epoch = 19, ER Nodes = 1185, Initial probability = 0.0008111111111111111, GC Size = 85, Avg Degree = 0.96
Epoch = 20, ER Nodes = 1198, Initial probability = 0.0008111111111111111, GC Size = 45, Avg Degree = 0.97
Epoch = 21, ER Nodes = 1213, Initial probability = 0.0008111111111111111, GC Size = 100, Avg Degree = 0.98
Epoch = 22, ER Nodes = 1224, Initial probability = 0.0008111111111111111, GC Size = 33, Avg Degree = 0.99
Epoch = 23, ER Nodes = 1241, Initial probability = 0.0008111111111111111, GC Size = 100, Avg Degree = 1.01
Epoch = 24, ER Nodes = 1255, Initial probability = 0.0008111111111111111, GC Size = 152, Avg Degree = 1.02
Epoch = 25, ER Nodes = 1265, Initial probability = 0.0008111111111111111, GC Size = 130, Avg Degree = 1.02
Epoch = 26, ER Nodes = 1276, Initial probability = 0.0008111111111111111, GC Size = 88, Avg Degree = 1.03
Epoch = 27, ER Nodes = 1288, Initial probability = 0.0008111111111111111, GC Size = 142, Avg Degree = 1.04
Epoch = 28, ER Nodes = 1297, Initial probability = 0.0008111111111111111, GC Size = 208, Avg Degree = 1.05
Epoch = 29, ER Nodes = 1308, Initial probability = 0.0008111111111111111, GC Size = 332, Avg Degree = 1.06
Epoch = 30, ER Nodes = 1317, Initial probability = 0.0008111111111111111, GC Size = 243, Avg Degree = 1.07
Epoch = 31, ER Nodes = 1338, Initial probability = 0.0008111111111111111, GC Size = 150, Avg Degree = 1.08
Epoch = 32, ER Nodes = 1353, Initial probability = 0.0008111111111111111, GC Size = 288, Avg Degree = 1.10
Epoch = 33, ER Nodes = 1366, Initial probability = 0.0008111111111111111, GC Size = 383, Avg Degree = 1.11
Epoch = 34, ER Nodes = 1378, Initial probability = 0.0008111111111111111, GC Size = 336, Avg Degree = 1.12
