Epoch = 1, ER Nodes = 1000, Initial probability = 0.00018888888888888888, GC Size = 5, Avg Degree = 0.19
Epoch = 2, ER Nodes = 1002, Initial probability = 0.00018888888888888888, GC Size = 4, Avg Degree = 0.19
Epoch = 3, ER Nodes = 1002, Initial probability = 0.00018888888888888888, GC Size = 3, Avg Degree = 0.19
Epoch = 4, ER Nodes = 1004, Initial probability = 0.00018888888888888888, GC Size = 4, Avg Degree = 0.19
Epoch = 5, ER Nodes = 1007, Initial probability = 0.00018888888888888888, GC Size = 5, Avg Degree = 0.19
Epoch = 6, ER Nodes = 1007, Initial probability = 0.00018888888888888888, GC Size = 5, Avg Degree = 0.19
Epoch = 7, ER Nodes = 1008, Initial probability = 0.00018888888888888888, GC Size = 4, Avg Degree = 0.19
Epoch = 8, ER Nodes = 1010, Initial probability = 0.00018888888888888888, GC Size = 4, Avg Degree = 0.19
Epoch = 9, ER Nodes = 1012, Initial probability = 0.00018888888888888888, GC Size = 4, Avg Degree = 0.19
Epoch = 10, ER Nodes = 1014, Initial probability = 0.00018888888888888888, GC Size = 5, Avg Degree = 0.19
Epoch = 11, ER Nodes = 1014, Initial probability = 0.00018888888888888888, GC Size = 4, Avg Degree = 0.19
Epoch = 12, ER Nodes = 1014, Initial probability = 0.00018888888888888888, GC Size = 4, Avg Degree = 0.19
Epoch = 13, ER Nodes = 1016, Initial probability = 0.00018888888888888888, GC Size = 4, Avg Degree = 0.19
Epoch = 14, ER Nodes = 1016, Initial probability = 0.00018888888888888888, GC Size = 5, Avg Degree = 0.19
Epoch = 15, ER Nodes = 1020, Initial probability = 0.00018888888888888888, GC Size = 4, Avg Degree = 0.19
Epoch = 16, ER Nodes = 1021, Initial probability = 0.00018888888888888888, GC Size = 4, Avg Degree = 0.19
Epoch = 17, ER Nodes = 1021, Initial probability = 0.00018888888888888888, GC Size = 6, Avg Degree = 0.19
Epoch = 18, ER Nodes = 1024, Initial probability = 0.00018888888888888888, GC Size = 4, Avg Degree = 0.19
Epoch = 19, ER Nodes = 1029, Initial probability = 0.00018888888888888888, GC Size = 5, Avg Degree = 0.19
