Epoch = 58, ER Nodes = 1261, Initial probability = 0.0003666666666666666, GC Size = 8, Avg Degree = 0.46
Epoch = 59, ER Nodes = 1267, Initial probability = 0.0003666666666666666, GC Size = 9, Avg Degree = 0.46
Epoch = 60, ER Nodes = 1270, Initial probability = 0.0003666666666666666, GC Size = 16, Avg Degree = 0.46
Epoch = 61, ER Nodes = 1276, Initial probability = 0.0003666666666666666, GC Size = 19, Avg Degree = 0.47
Epoch = 62, ER Nodes = 1284, Initial probability = 0.0003666666666666666, GC Size = 11, Avg Degree = 0.47
Epoch = 63, ER Nodes = 1287, Initial probability = 0.0003666666666666666, GC Size = 8, Avg Degree = 0.47
Epoch = 64, ER Nodes = 1291, Initial probability = 0.0003666666666666666, GC Size = 14, Avg Degree = 0.47
Epoch = 65, ER Nodes = 1299, Initial probability = 0.0003666666666666666, GC Size = 12, Avg Degree = 0.48
Epoch = 66, ER Nodes = 1307, Initial probability = 0.0003666666666666666, GC Size = 16, Avg Degree = 0.48
Epoch = 67, ER Nodes = 1313, Initial probability = 0.0003666666666666666, GC Size = 13, Avg Degree = 0.48
Epoch = 68, ER Nodes = 1323, Initial probability = 0.0003666666666666666, GC Size = 14, Avg Degree = 0.48
Epoch = 69, ER Nodes = 1329, Initial probability = 0.0003666666666666666, GC Size = 13, Avg Degree = 0.49
Epoch = 70, ER Nodes = 1333, Initial probability = 0.0003666666666666666, GC Size = 13, Avg Degree = 0.49
Epoch = 71, ER Nodes = 1340, Initial probability = 0.0003666666666666666, GC Size = 13, Avg Degree = 0.49
Epoch = 72, ER Nodes = 1346, Initial probability = 0.0003666666666666666, GC Size = 12, Avg Degree = 0.49
Epoch = 73, ER Nodes = 1357, Initial probability = 0.0003666666666666666, GC Size = 9, Avg Degree = 0.50
Epoch = 74, ER Nodes = 1363, Initial probability = 0.0003666666666666666, GC Size = 7, Avg Degree = 0.50
Epoch = 75, ER Nodes = 1366, Initial probability = 0.0003666666666666666, GC Size = 12, Avg Degree = 0.50
Epoch = 76, ER Nodes = 1377, Initial probability = 0.0003666666666666666, GC Size = 9, Avg Degree = 0.50
Epoch = 77, ER Nodes = 1382, Initial probability = 0.0003666666666666666, GC Size = 10, Avg Degree = 0.51
Epoch = 78, ER Nodes = 1384, Initial probability = 0.0003666666666666666, GC Size = 8, Avg Degree = 0.51
Epoch = 79, ER Nodes = 1388, Initial probability = 0.0003666666666666666, GC Size = 10, Avg Degree = 0.51
Epoch = 80, ER Nodes = 1396, Initial probability = 0.0003666666666666666, GC Size = 7, Avg Degree = 0.51
Epoch = 81, ER Nodes = 1405, Initial probability = 0.0003666666666666666, GC Size = 14, Avg Degree = 0.51
Epoch = 82, ER Nodes = 1414, Initial probability = 0.0003666666666666666, GC Size = 11, Avg Degree = 0.52
Epoch = 83, ER Nodes = 1420, Initial probability = 0.0003666666666666666, GC Size = 11, Avg Degree = 0.52
Epoch = 84, ER Nodes = 1427, Initial probability = 0.0003666666666666666, GC Size = 12, Avg Degree = 0.52
Epoch = 85, ER Nodes = 1430, Initial probability = 0.0003666666666666666, GC Size = 14, Avg Degree = 0.52
Epoch = 86, ER Nodes = 1434, Initial probability = 0.0003666666666666666, GC Size = 10, Avg Degree = 0.52
Epoch = 87, ER Nodes = 1442, Initial probability = 0.0003666666666666666, GC Size = 7, Avg Degree = 0.53
Epoch = 88, ER Nodes = 1448, Initial probability = 0.0003666666666666666, GC Size = 17, Avg Degree = 0.53
Epoch = 89, ER Nodes = 1457, Initial probability = 0.0003666666666666666, GC Size = 12, Avg Degree = 0.53
Epoch = 90, ER Nodes = 1467, Initial probability = 0.0003666666666666666, GC Size = 10, Avg Degree = 0.54
Epoch = 91, ER Nodes = 1470, Initial probability = 0.0003666666666666666, GC Size = 24, Avg Degree = 0.54
Epoch = 92, ER Nodes = 1480, Initial probability = 0.0003666666666666666, GC Size = 10, Avg Degree = 0.54
Epoch = 93, ER Nodes = 1484, Initial probability = 0.0003666666666666666, GC Size = 9, Avg Degree = 0.54
Epoch = 94, ER Nodes = 1490, Initial probability = 0.0003666666666666666, GC Size = 14, Avg Degree = 0.54
Epoch = 95, ER Nodes = 1498, Initial probability = 0.0003666666666666666, GC Size = 14, Avg Degree = 0.55
Epoch = 96, ER Nodes = 1511, Initial probability = 0.0003666666666666666, GC Size = 10, Avg Degree = 0.55
Epoch = 97, ER Nodes = 1518, Initial probability = 0.0003666666666666666, GC Size = 13, Avg Degree = 0.56
Epoch = 98, ER Nodes = 1523, Initial probability = 0.0003666666666666666, GC Size = 16, Avg Degree = 0.56
Epoch = 99, ER Nodes = 1534, Initial probability = 0.0003666666666666666, GC Size = 11, Avg Degree = 0.56
Epoch = 100, ER Nodes = 1543, Initial probability = 0.0003666666666666666, GC Size = 13, Avg Degree = 0.57
