Epoch = 1, ER Nodes = 1000, Initial probability = 0.0005444444444444444, GC Size = 17, Avg Degree = 0.54
Epoch = 2, ER Nodes = 1010, Initial probability = 0.0005444444444444444, GC Size = 12, Avg Degree = 0.55
Epoch = 3, ER Nodes = 1016, Initial probability = 0.0005444444444444444, GC Size = 15, Avg Degree = 0.55
Epoch = 4, ER Nodes = 1020, Initial probability = 0.0005444444444444444, GC Size = 11, Avg Degree = 0.55
Epoch = 5, ER Nodes = 1025, Initial probability = 0.0005444444444444444, GC Size = 13, Avg Degree = 0.56
Epoch = 6, ER Nodes = 1025, Initial probability = 0.0005444444444444444, GC Size = 10, Avg Degree = 0.56
Epoch = 7, ER Nodes = 1031, Initial probability = 0.0005444444444444444, GC Size = 15, Avg Degree = 0.56
Epoch = 8, ER Nodes = 1040, Initial probability = 0.0005444444444444444, GC Size = 10, Avg Degree = 0.57
Epoch = 9, ER Nodes = 1049, Initial probability = 0.0005444444444444444, GC Size = 12, Avg Degree = 0.57
Epoch = 10, ER Nodes = 1056, Initial probability = 0.0005444444444444444, GC Size = 23, Avg Degree = 0.57
Epoch = 11, ER Nodes = 1060, Initial probability = 0.0005444444444444444, GC Size = 17, Avg Degree = 0.58
Epoch = 12, ER Nodes = 1067, Initial probability = 0.0005444444444444444, GC Size = 11, Avg Degree = 0.58
Epoch = 13, ER Nodes = 1080, Initial probability = 0.0005444444444444444, GC Size = 24, Avg Degree = 0.59
Epoch = 14, ER Nodes = 1088, Initial probability = 0.0005444444444444444, GC Size = 25, Avg Degree = 0.59
Epoch = 15, ER Nodes = 1097, Initial probability = 0.0005444444444444444, GC Size = 14, Avg Degree = 0.60
Epoch = 16, ER Nodes = 1105, Initial probability = 0.0005444444444444444, GC Size = 16, Avg Degree = 0.60
Epoch = 17, ER Nodes = 1110, Initial probability = 0.0005444444444444444, GC Size = 11, Avg Degree = 0.60
Epoch = 18, ER Nodes = 1113, Initial probability = 0.0005444444444444444, GC Size = 16, Avg Degree = 0.60
Epoch = 19, ER Nodes = 1125, Initial probability = 0.0005444444444444444, GC Size = 12, Avg Degree = 0.61
Epoch = 20, ER Nodes = 1134, Initial probability = 0.0005444444444444444, GC Size = 19, Avg Degree = 0.62
Epoch = 21, ER Nodes = 1141, Initial probability = 0.0005444444444444444, GC Size = 16, Avg Degree = 0.62
Epoch = 22, ER Nodes = 1145, Initial probability = 0.0005444444444444444, GC Size = 15, Avg Degree = 0.62
Epoch = 23, ER Nodes = 1148, Initial probability = 0.0005444444444444444, GC Size = 14, Avg Degree = 0.62
Epoch = 24, ER Nodes = 1153, Initial probability = 0.0005444444444444444, GC Size = 17, Avg Degree = 0.63
Epoch = 25, ER Nodes = 1162, Initial probability = 0.0005444444444444444, GC Size = 12, Avg Degree = 0.63
Epoch = 26, ER Nodes = 1165, Initial probability = 0.0005444444444444444, GC Size = 19, Avg Degree = 0.63
Epoch = 27, ER Nodes = 1171, Initial probability = 0.0005444444444444444, GC Size = 15, Avg Degree = 0.64
Epoch = 28, ER Nodes = 1179, Initial probability = 0.0005444444444444444, GC Size = 24, Avg Degree = 0.64
Epoch = 29, ER Nodes = 1189, Initial probability = 0.0005444444444444444, GC Size = 16, Avg Degree = 0.65
Epoch = 30, ER Nodes = 1196, Initial probability = 0.0005444444444444444, GC Size = 14, Avg Degree = 0.65
Epoch = 31, ER Nodes = 1204, Initial probability = 0.0005444444444444444, GC Size = 16, Avg Degree = 0.65
Epoch = 32, ER Nodes = 1212, Initial probability = 0.0005444444444444444, GC Size = 12, Avg Degree = 0.66
Epoch = 33, ER Nodes = 1219, Initial probability = 0.0005444444444444444, GC Size = 15, Avg Degree = 0.66
Epoch = 34, ER Nodes = 1228, Initial probability = 0.0005444444444444444, GC Size = 22, Avg Degree = 0.67
Epoch = 35, ER Nodes = 1243, Initial probability = 0.0005444444444444444, GC Size = 23, Avg Degree = 0.68
Epoch = 36, ER Nodes = 1249, Initial probability = 0.0005444444444444444, GC Size = 25, Avg Degree = 0.68
Epoch = 37, ER Nodes = 1257, Initial probability = 0.0005444444444444444, GC Size = 20, Avg Degree = 0.68
Epoch = 38, ER Nodes = 1266, Initial probability = 0.0005444444444444444, GC Size = 16, Avg Degree = 0.69
Epoch = 39, ER Nodes = 1277, Initial probability = 0.0005444444444444444, GC Size = 17, Avg Degree = 0.69
Epoch = 40, ER Nodes = 1281, Initial probability = 0.0005444444444444444, GC Size = 35, Avg Degree = 0.70
Epoch = 41, ER Nodes = 1287, Initial probability = 0.0005444444444444444, GC Size = 19, Avg Degree = 0.70
Epoch = 42, ER Nodes = 1292, Initial probability = 0.0005444444444444444, GC Size = 20, Avg Degree = 0.70
Epoch = 43, ER Nodes = 1298, Initial probability = 0.0005444444444444444, GC Size = 23, Avg Degree = 0.71
Epoch = 44, ER Nodes = 1312, Initial probability = 0.0005444444444444444, GC Size = 17, Avg Degree = 0.71
Epoch = 45, ER Nodes = 1319, Initial probability = 0.0005444444444444444, GC Size = 41, Avg Degree = 0.72
Epoch = 46, ER Nodes = 1330, Initial probability = 0.0005444444444444444, GC Size = 25, Avg Degree = 0.72
Epoch = 47, ER Nodes = 1346, Initial probability = 0.0005444444444444444, GC Size = 18, Avg Degree = 0.73
Epoch = 48, ER Nodes = 1356, Initial probability = 0.0005444444444444444, GC Size = 24, Avg Degree = 0.74
Epoch = 49, ER Nodes = 1362, Initial probability = 0.0005444444444444444, GC Size = 25, Avg Degree = 0.74
Epoch = 50, ER Nodes = 1372, Initial probability = 0.0005444444444444444, GC Size = 29, Avg Degree = 0.75
Epoch = 51, ER Nodes = 1386, Initial probability = 0.0005444444444444444, GC Size = 18, Avg Degree = 0.75
Epoch = 52, ER Nodes = 1398, Initial probability = 0.0005444444444444444, GC Size = 20, Avg Degree = 0.76
Epoch = 53, ER Nodes = 1407, Initial probability = 0.0005444444444444444, GC Size = 24, Avg Degree = 0.76
