Epoch = 1, ER Nodes = 976, removal debris = 33, Initial probability = 0.0003, GC Size = 6, Avg Degree = 0.31, removal rate = 33
Epoch = 2, ER Nodes = 981, removal debris = 33, Initial probability = 0.0003, GC Size = 6, Avg Degree = 0.29, removal rate = 33
Epoch = 3, ER Nodes = 983, removal debris = 33, Initial probability = 0.0003, GC Size = 8, Avg Degree = 0.29, removal rate = 33
Epoch = 4, ER Nodes = 984, removal debris = 33, Initial probability = 0.0003, GC Size = 6, Avg Degree = 0.29, removal rate = 33
Epoch = 5, ER Nodes = 986, removal debris = 33, Initial probability = 0.0003, GC Size = 8, Avg Degree = 0.29, removal rate = 33
Epoch = 6, ER Nodes = 987, removal debris = 33, Initial probability = 0.0003, GC Size = 6, Avg Degree = 0.29, removal rate = 33
Epoch = 7, ER Nodes = 990, removal debris = 33, Initial probability = 0.0003, GC Size = 6, Avg Degree = 0.29, removal rate = 33
Epoch = 8, ER Nodes = 994, removal debris = 33, Initial probability = 0.0003, GC Size = 7, Avg Degree = 0.30, removal rate = 33
Epoch = 9, ER Nodes = 996, removal debris = 33, Initial probability = 0.0003, GC Size = 5, Avg Degree = 0.30, removal rate = 33
Epoch = 10, ER Nodes = 1000, removal debris = 33, Initial probability = 0.0003, GC Size = 6, Avg Degree = 0.30, removal rate = 33
Epoch = 11, ER Nodes = 977, removal debris = 33, Initial probability = 0.0003, GC Size = 4, Avg Degree = 0.31, removal rate = 33
Epoch = 12, ER Nodes = 979, removal debris = 33, Initial probability = 0.0003, GC Size = 5, Avg Degree = 0.29, removal rate = 33
Epoch = 13, ER Nodes = 981, removal debris = 33, Initial probability = 0.0003, GC Size = 7, Avg Degree = 0.29, removal rate = 33
Epoch = 14, ER Nodes = 985, removal debris = 33, Initial probability = 0.0003, GC Size = 8, Avg Degree = 0.29, removal rate = 33
Epoch = 15, ER Nodes = 988, removal debris = 33, Initial probability = 0.0003, GC Size = 6, Avg Degree = 0.30, removal rate = 33
Epoch = 16, ER Nodes = 994, removal debris = 33, Initial probability = 0.0003, GC Size = 7, Avg Degree = 0.30, removal rate = 33
Epoch = 17, ER Nodes = 1000, removal debris = 33, Initial probability = 0.0003, GC Size = 8, Avg Degree = 0.30, removal rate = 33
Epoch = 18, ER Nodes = 1004, removal debris = 33, Initial probability = 0.0003, GC Size = 5, Avg Degree = 0.30, removal rate = 33
Epoch = 19, ER Nodes = 1005, removal debris = 33, Initial probability = 0.0003, GC Size = 7, Avg Degree = 0.30, removal rate = 33
Epoch = 20, ER Nodes = 1007, removal debris = 33, Initial probability = 0.0003, GC Size = 4, Avg Degree = 0.30, removal rate = 33
Epoch = 21, ER Nodes = 987, removal debris = 33, Initial probability = 0.0003, GC Size = 7, Avg Degree = 0.31, removal rate = 33
Epoch = 22, ER Nodes = 992, removal debris = 33, Initial probability = 0.0003, GC Size = 5, Avg Degree = 0.29, removal rate = 33
