Epoch = 1, ER Nodes = 1000, Initial probability = 0.0004555555555555555, GC Size = 12, Avg Degree = 0.45
Epoch = 2, ER Nodes = 1005, Initial probability = 0.0004555555555555555, GC Size = 13, Avg Degree = 0.46
Epoch = 3, ER Nodes = 1007, Initial probability = 0.0004555555555555555, GC Size = 8, Avg Degree = 0.46
Epoch = 4, ER Nodes = 1015, Initial probability = 0.0004555555555555555, GC Size = 8, Avg Degree = 0.46
Epoch = 5, ER Nodes = 1024, Initial probability = 0.0004555555555555555, GC Size = 10, Avg Degree = 0.46
Epoch = 6, ER Nodes = 1031, Initial probability = 0.0004555555555555555, GC Size = 8, Avg Degree = 0.47
Epoch = 7, ER Nodes = 1035, Initial probability = 0.0004555555555555555, GC Size = 11, Avg Degree = 0.47
Epoch = 8, ER Nodes = 1041, Initial probability = 0.0004555555555555555, GC Size = 14, Avg Degree = 0.47
Epoch = 9, ER Nodes = 1043, Initial probability = 0.0004555555555555555, GC Size = 14, Avg Degree = 0.47
Epoch = 10, ER Nodes = 1048, Initial probability = 0.0004555555555555555, GC Size = 10, Avg Degree = 0.48
Epoch = 11, ER Nodes = 1053, Initial probability = 0.0004555555555555555, GC Size = 12, Avg Degree = 0.48
Epoch = 12, ER Nodes = 1057, Initial probability = 0.0004555555555555555, GC Size = 12, Avg Degree = 0.48
Epoch = 13, ER Nodes = 1061, Initial probability = 0.0004555555555555555, GC Size = 8, Avg Degree = 0.48
Epoch = 14, ER Nodes = 1070, Initial probability = 0.0004555555555555555, GC Size = 13, Avg Degree = 0.49
Epoch = 15, ER Nodes = 1078, Initial probability = 0.0004555555555555555, GC Size = 15, Avg Degree = 0.49
Epoch = 16, ER Nodes = 1081, Initial probability = 0.0004555555555555555, GC Size = 11, Avg Degree = 0.49
Epoch = 17, ER Nodes = 1087, Initial probability = 0.0004555555555555555, GC Size = 17, Avg Degree = 0.49
Epoch = 18, ER Nodes = 1095, Initial probability = 0.0004555555555555555, GC Size = 11, Avg Degree = 0.50
Epoch = 19, ER Nodes = 1103, Initial probability = 0.0004555555555555555, GC Size = 14, Avg Degree = 0.50
Epoch = 20, ER Nodes = 1112, Initial probability = 0.0004555555555555555, GC Size = 9, Avg Degree = 0.51
Epoch = 21, ER Nodes = 1116, Initial probability = 0.0004555555555555555, GC Size = 11, Avg Degree = 0.51
Epoch = 22, ER Nodes = 1119, Initial probability = 0.0004555555555555555, GC Size = 11, Avg Degree = 0.51
Epoch = 23, ER Nodes = 1123, Initial probability = 0.0004555555555555555, GC Size = 14, Avg Degree = 0.51
Epoch = 24, ER Nodes = 1133, Initial probability = 0.0004555555555555555, GC Size = 16, Avg Degree = 0.52
Epoch = 25, ER Nodes = 1140, Initial probability = 0.0004555555555555555, GC Size = 11, Avg Degree = 0.52
Epoch = 26, ER Nodes = 1145, Initial probability = 0.0004555555555555555, GC Size = 11, Avg Degree = 0.52
Epoch = 27, ER Nodes = 1153, Initial probability = 0.0004555555555555555, GC Size = 12, Avg Degree = 0.52
Epoch = 28, ER Nodes = 1156, Initial probability = 0.0004555555555555555, GC Size = 11, Avg Degree = 0.53
Epoch = 29, ER Nodes = 1163, Initial probability = 0.0004555555555555555, GC Size = 17, Avg Degree = 0.53
Epoch = 30, ER Nodes = 1167, Initial probability = 0.0004555555555555555, GC Size = 15, Avg Degree = 0.53
Epoch = 31, ER Nodes = 1171, Initial probability = 0.0004555555555555555, GC Size = 20, Avg Degree = 0.53
Epoch = 32, ER Nodes = 1179, Initial probability = 0.0004555555555555555, GC Size = 10, Avg Degree = 0.54
Epoch = 33, ER Nodes = 1187, Initial probability = 0.0004555555555555555, GC Size = 8, Avg Degree = 0.54
Epoch = 34, ER Nodes = 1195, Initial probability = 0.0004555555555555555, GC Size = 9, Avg Degree = 0.54
Epoch = 35, ER Nodes = 1205, Initial probability = 0.0004555555555555555, GC Size = 16, Avg Degree = 0.55
Epoch = 36, ER Nodes = 1210, Initial probability = 0.0004555555555555555, GC Size = 10, Avg Degree = 0.55
Epoch = 37, ER Nodes = 1215, Initial probability = 0.0004555555555555555, GC Size = 9, Avg Degree = 0.55
Epoch = 38, ER Nodes = 1224, Initial probability = 0.0004555555555555555, GC Size = 17, Avg Degree = 0.56
Epoch = 39, ER Nodes = 1236, Initial probability = 0.0004555555555555555, GC Size = 14, Avg Degree = 0.56
Epoch = 40, ER Nodes = 1243, Initial probability = 0.0004555555555555555, GC Size = 12, Avg Degree = 0.56
Epoch = 41, ER Nodes = 1249, Initial probability = 0.0004555555555555555, GC Size = 12, Avg Degree = 0.57
Epoch = 42, ER Nodes = 1261, Initial probability = 0.0004555555555555555, GC Size = 14, Avg Degree = 0.57
Epoch = 43, ER Nodes = 1272, Initial probability = 0.0004555555555555555, GC Size = 13, Avg Degree = 0.58
Epoch = 44, ER Nodes = 1280, Initial probability = 0.0004555555555555555, GC Size = 21, Avg Degree = 0.58
Epoch = 45, ER Nodes = 1291, Initial probability = 0.0004555555555555555, GC Size = 18, Avg Degree = 0.59
Epoch = 46, ER Nodes = 1304, Initial probability = 0.0004555555555555555, GC Size = 12, Avg Degree = 0.59
Epoch = 47, ER Nodes = 1310, Initial probability = 0.0004555555555555555, GC Size = 17, Avg Degree = 0.60
Epoch = 48, ER Nodes = 1317, Initial probability = 0.0004555555555555555, GC Size = 10, Avg Degree = 0.60
Epoch = 49, ER Nodes = 1324, Initial probability = 0.0004555555555555555, GC Size = 13, Avg Degree = 0.60
Epoch = 50, ER Nodes = 1333, Initial probability = 0.0004555555555555555, GC Size = 19, Avg Degree = 0.61
Epoch = 51, ER Nodes = 1341, Initial probability = 0.0004555555555555555, GC Size = 20, Avg Degree = 0.61
Epoch = 52, ER Nodes = 1346, Initial probability = 0.0004555555555555555, GC Size = 12, Avg Degree = 0.61
Epoch = 53, ER Nodes = 1351, Initial probability = 0.0004555555555555555, GC Size = 27, Avg Degree = 0.61
Epoch = 54, ER Nodes = 1362, Initial probability = 0.0004555555555555555, GC Size = 11, Avg Degree = 0.62
Epoch = 55, ER Nodes = 1372, Initial probability = 0.0004555555555555555, GC Size = 20, Avg Degree = 0.62
Epoch = 56, ER Nodes = 1384, Initial probability = 0.0004555555555555555, GC Size = 36, Avg Degree = 0.63
Epoch = 57, ER Nodes = 1393, Initial probability = 0.0004555555555555555, GC Size = 30, Avg Degree = 0.63
Epoch = 58, ER Nodes = 1397, Initial probability = 0.0004555555555555555, GC Size = 11, Avg Degree = 0.64
Epoch = 59, ER Nodes = 1412, Initial probability = 0.0004555555555555555, GC Size = 16, Avg Degree = 0.64
Epoch = 60, ER Nodes = 1419, Initial probability = 0.0004555555555555555, GC Size = 18, Avg Degree = 0.65
Epoch = 61, ER Nodes = 1430, Initial probability = 0.0004555555555555555, GC Size = 19, Avg Degree = 0.65
Epoch = 62, ER Nodes = 1436, Initial probability = 0.0004555555555555555, GC Size = 14, Avg Degree = 0.65
Epoch = 63, ER Nodes = 1448, Initial probability = 0.0004555555555555555, GC Size = 22, Avg Degree = 0.66
Epoch = 64, ER Nodes = 1454, Initial probability = 0.0004555555555555555, GC Size = 25, Avg Degree = 0.66
Epoch = 65, ER Nodes = 1463, Initial probability = 0.0004555555555555555, GC Size = 21, Avg Degree = 0.67
Epoch = 66, ER Nodes = 1470, Initial probability = 0.0004555555555555555, GC Size = 18, Avg Degree = 0.67
Epoch = 67, ER Nodes = 1485, Initial probability = 0.0004555555555555555, GC Size = 20, Avg Degree = 0.67
Epoch = 68, ER Nodes = 1495, Initial probability = 0.0004555555555555555, GC Size = 21, Avg Degree = 0.68
Epoch = 69, ER Nodes = 1506, Initial probability = 0.0004555555555555555, GC Size = 18, Avg Degree = 0.69
Epoch = 70, ER Nodes = 1521, Initial probability = 0.0004555555555555555, GC Size = 16, Avg Degree = 0.69
Epoch = 71, ER Nodes = 1530, Initial probability = 0.0004555555555555555, GC Size = 51, Avg Degree = 0.70
Epoch = 72, ER Nodes = 1540, Initial probability = 0.0004555555555555555, GC Size = 22, Avg Degree = 0.70
Epoch = 73, ER Nodes = 1550, Initial probability = 0.0004555555555555555, GC Size = 23, Avg Degree = 0.70
Epoch = 74, ER Nodes = 1559, Initial probability = 0.0004555555555555555, GC Size = 28, Avg Degree = 0.71
Epoch = 75, ER Nodes = 1574, Initial probability = 0.0004555555555555555, GC Size = 28, Avg Degree = 0.72
Epoch = 76, ER Nodes = 1592, Initial probability = 0.0004555555555555555, GC Size = 25, Avg Degree = 0.72
Epoch = 77, ER Nodes = 1602, Initial probability = 0.0004555555555555555, GC Size = 17, Avg Degree = 0.73
Epoch = 78, ER Nodes = 1609, Initial probability = 0.0004555555555555555, GC Size = 34, Avg Degree = 0.73
Epoch = 79, ER Nodes = 1616, Initial probability = 0.0004555555555555555, GC Size = 25, Avg Degree = 0.74
Epoch = 80, ER Nodes = 1622, Initial probability = 0.0004555555555555555, GC Size = 20, Avg Degree = 0.74
Epoch = 81, ER Nodes = 1642, Initial probability = 0.0004555555555555555, GC Size = 41, Avg Degree = 0.75
Epoch = 82, ER Nodes = 1651, Initial probability = 0.0004555555555555555, GC Size = 41, Avg Degree = 0.75
Epoch = 83, ER Nodes = 1661, Initial probability = 0.0004555555555555555, GC Size = 33, Avg Degree = 0.76
Epoch = 84, ER Nodes = 1675, Initial probability = 0.0004555555555555555, GC Size = 21, Avg Degree = 0.76
Epoch = 85, ER Nodes = 1687, Initial probability = 0.0004555555555555555, GC Size = 77, Avg Degree = 0.77
Epoch = 86, ER Nodes = 1698, Initial probability = 0.0004555555555555555, GC Size = 44, Avg Degree = 0.77
Epoch = 87, ER Nodes = 1708, Initial probability = 0.0004555555555555555, GC Size = 65, Avg Degree = 0.78
Epoch = 88, ER Nodes = 1719, Initial probability = 0.0004555555555555555, GC Size = 46, Avg Degree = 0.78
Epoch = 89, ER Nodes = 1735, Initial probability = 0.0004555555555555555, GC Size = 27, Avg Degree = 0.79
Epoch = 90, ER Nodes = 1746, Initial probability = 0.0004555555555555555, GC Size = 35, Avg Degree = 0.79
Epoch = 91, ER Nodes = 1763, Initial probability = 0.0004555555555555555, GC Size = 37, Avg Degree = 0.80
Epoch = 92, ER Nodes = 1773, Initial probability = 0.0004555555555555555, GC Size = 46, Avg Degree = 0.81
Epoch = 93, ER Nodes = 1793, Initial probability = 0.0004555555555555555, GC Size = 96, Avg Degree = 0.82
Epoch = 94, ER Nodes = 1805, Initial probability = 0.0004555555555555555, GC Size = 27, Avg Degree = 0.82
Epoch = 95, ER Nodes = 1816, Initial probability = 0.0004555555555555555, GC Size = 33, Avg Degree = 0.83
Epoch = 96, ER Nodes = 1833, Initial probability = 0.0004555555555555555, GC Size = 42, Avg Degree = 0.83
Epoch = 97, ER Nodes = 1845, Initial probability = 0.0004555555555555555, GC Size = 42, Avg Degree = 0.84
Epoch = 98, ER Nodes = 1855, Initial probability = 0.0004555555555555555, GC Size = 49, Avg Degree = 0.84
Epoch = 99, ER Nodes = 1873, Initial probability = 0.0004555555555555555, GC Size = 53, Avg Degree = 0.85
Epoch = 100, ER Nodes = 1881, Initial probability = 0.0004555555555555555, GC Size = 31, Avg Degree = 0.86
Epoch = 101, ER Nodes = 1900, Initial probability = 0.0004555555555555555, GC Size = 75, Avg Degree = 0.86
Epoch = 102, ER Nodes = 1918, Initial probability = 0.0004555555555555555, GC Size = 24, Avg Degree = 0.87
Epoch = 103, ER Nodes = 1941, Initial probability = 0.0004555555555555555, GC Size = 62, Avg Degree = 0.88
Epoch = 104, ER Nodes = 1960, Initial probability = 0.0004555555555555555, GC Size = 42, Avg Degree = 0.89
Epoch = 105, ER Nodes = 1974, Initial probability = 0.0004555555555555555, GC Size = 42, Avg Degree = 0.90
Epoch = 106, ER Nodes = 1993, Initial probability = 0.0004555555555555555, GC Size = 120, Avg Degree = 0.91
Epoch = 107, ER Nodes = 2012, Initial probability = 0.0004555555555555555, GC Size = 69, Avg Degree = 0.92
Epoch = 108, ER Nodes = 2029, Initial probability = 0.0004555555555555555, GC Size = 76, Avg Degree = 0.92
Epoch = 109, ER Nodes = 2047, Initial probability = 0.0004555555555555555, GC Size = 63, Avg Degree = 0.93
Epoch = 110, ER Nodes = 2066, Initial probability = 0.0004555555555555555, GC Size = 74, Avg Degree = 0.94
Epoch = 111, ER Nodes = 2086, Initial probability = 0.0004555555555555555, GC Size = 114, Avg Degree = 0.95
Epoch = 112, ER Nodes = 2103, Initial probability = 0.0004555555555555555, GC Size = 229, Avg Degree = 0.96
Epoch = 113, ER Nodes = 2118, Initial probability = 0.0004555555555555555, GC Size = 196, Avg Degree = 0.96
Epoch = 114, ER Nodes = 2140, Initial probability = 0.0004555555555555555, GC Size = 55, Avg Degree = 0.97
Epoch = 115, ER Nodes = 2156, Initial probability = 0.0004555555555555555, GC Size = 106, Avg Degree = 0.98
Epoch = 116, ER Nodes = 2174, Initial probability = 0.0004555555555555555, GC Size = 126, Avg Degree = 0.99
Epoch = 117, ER Nodes = 2198, Initial probability = 0.0004555555555555555, GC Size = 200, Avg Degree = 1.00
Epoch = 118, ER Nodes = 2218, Initial probability = 0.0004555555555555555, GC Size = 112, Avg Degree = 1.01
Epoch = 119, ER Nodes = 2236, Initial probability = 0.0004555555555555555, GC Size = 101, Avg Degree = 1.02
Epoch = 120, ER Nodes = 2260, Initial probability = 0.0004555555555555555, GC Size = 469, Avg Degree = 1.03
Epoch = 121, ER Nodes = 2281, Initial probability = 0.0004555555555555555, GC Size = 208, Avg Degree = 1.04
Epoch = 122, ER Nodes = 2311, Initial probability = 0.0004555555555555555, GC Size = 165, Avg Degree = 1.05
Epoch = 123, ER Nodes = 2329, Initial probability = 0.0004555555555555555, GC Size = 333, Avg Degree = 1.06
Epoch = 124, ER Nodes = 2359, Initial probability = 0.0004555555555555555, GC Size = 334, Avg Degree = 1.07
Epoch = 125, ER Nodes = 2388, Initial probability = 0.0004555555555555555, GC Size = 316, Avg Degree = 1.09
Epoch = 126, ER Nodes = 2412, Initial probability = 0.0004555555555555555, GC Size = 232, Avg Degree = 1.10
Epoch = 127, ER Nodes = 2443, Initial probability = 0.0004555555555555555, GC Size = 379, Avg Degree = 1.11
Epoch = 128, ER Nodes = 2469, Initial probability = 0.0004555555555555555, GC Size = 637, Avg Degree = 1.12
Epoch = 129, ER Nodes = 2492, Initial probability = 0.0004555555555555555, GC Size = 335, Avg Degree = 1.13
Epoch = 130, ER Nodes = 2528, Initial probability = 0.0004555555555555555, GC Size = 644, Avg Degree = 1.15
