Epoch = 1, ER Nodes = 966, removal debris = 45, Initial probability = 0.0003, GC Size = 5, Avg Degree = 0.31, removal rate = 45
Epoch = 2, ER Nodes = 969, removal debris = 45, Initial probability = 0.0003, GC Size = 8, Avg Degree = 0.29, removal rate = 45
Epoch = 3, ER Nodes = 970, removal debris = 45, Initial probability = 0.0003, GC Size = 5, Avg Degree = 0.29, removal rate = 45
Epoch = 4, ER Nodes = 970, removal debris = 45, Initial probability = 0.0003, GC Size = 5, Avg Degree = 0.29, removal rate = 45
Epoch = 5, ER Nodes = 970, removal debris = 45, Initial probability = 0.0003, GC Size = 6, Avg Degree = 0.29, removal rate = 45
Epoch = 6, ER Nodes = 975, removal debris = 45, Initial probability = 0.0003, GC Size = 6, Avg Degree = 0.29, removal rate = 45
Epoch = 7, ER Nodes = 976, removal debris = 45, Initial probability = 0.0003, GC Size = 7, Avg Degree = 0.29, removal rate = 45
Epoch = 8, ER Nodes = 981, removal debris = 45, Initial probability = 0.0003, GC Size = 8, Avg Degree = 0.29, removal rate = 45
Epoch = 9, ER Nodes = 984, removal debris = 45, Initial probability = 0.0003, GC Size = 5, Avg Degree = 0.29, removal rate = 45
Epoch = 10, ER Nodes = 986, removal debris = 45, Initial probability = 0.0003, GC Size = 5, Avg Degree = 0.29, removal rate = 45
Epoch = 11, ER Nodes = 952, removal debris = 45, Initial probability = 0.0003, GC Size = 5, Avg Degree = 0.31, removal rate = 45
Epoch = 12, ER Nodes = 952, removal debris = 45, Initial probability = 0.0003, GC Size = 4, Avg Degree = 0.28, removal rate = 45
Epoch = 13, ER Nodes = 953, removal debris = 45, Initial probability = 0.0003, GC Size = 9, Avg Degree = 0.29, removal rate = 45
Epoch = 14, ER Nodes = 959, removal debris = 45, Initial probability = 0.0003, GC Size = 5, Avg Degree = 0.29, removal rate = 45
Epoch = 15, ER Nodes = 961, removal debris = 45, Initial probability = 0.0003, GC Size = 5, Avg Degree = 0.29, removal rate = 45
Epoch = 16, ER Nodes = 964, removal debris = 45, Initial probability = 0.0003, GC Size = 8, Avg Degree = 0.29, removal rate = 45
Epoch = 17, ER Nodes = 964, removal debris = 45, Initial probability = 0.0003, GC Size = 6, Avg Degree = 0.29, removal rate = 45
Epoch = 18, ER Nodes = 969, removal debris = 45, Initial probability = 0.0003, GC Size = 6, Avg Degree = 0.29, removal rate = 45
Epoch = 19, ER Nodes = 971, removal debris = 45, Initial probability = 0.0003, GC Size = 7, Avg Degree = 0.29, removal rate = 45
Epoch = 20, ER Nodes = 973, removal debris = 45, Initial probability = 0.0003, GC Size = 6, Avg Degree = 0.29, removal rate = 45
