Epoch = 1, ER Nodes = 1000, Initial probability = 0.0008, GC Size = 57, Avg Degree = 0.80
Epoch = 2, ER Nodes = 1010, Initial probability = 0.0008, GC Size = 37, Avg Degree = 0.81
Epoch = 3, ER Nodes = 1014, Initial probability = 0.0008, GC Size = 25, Avg Degree = 0.81
Epoch = 4, ER Nodes = 1019, Initial probability = 0.0008, GC Size = 33, Avg Degree = 0.81
Epoch = 5, ER Nodes = 1028, Initial probability = 0.0008, GC Size = 24, Avg Degree = 0.82
Epoch = 6, ER Nodes = 1036, Initial probability = 0.0008, GC Size = 33, Avg Degree = 0.83
Epoch = 7, ER Nodes = 1047, Initial probability = 0.0008, GC Size = 30, Avg Degree = 0.84
Epoch = 8, ER Nodes = 1062, Initial probability = 0.0008, GC Size = 26, Avg Degree = 0.85
Epoch = 9, ER Nodes = 1069, Initial probability = 0.0008, GC Size = 17, Avg Degree = 0.85
Epoch = 10, ER Nodes = 1074, Initial probability = 0.0008, GC Size = 88, Avg Degree = 0.86
Epoch = 11, ER Nodes = 1082, Initial probability = 0.0008, GC Size = 73, Avg Degree = 0.86
Epoch = 12, ER Nodes = 1093, Initial probability = 0.0008, GC Size = 23, Avg Degree = 0.87
Epoch = 13, ER Nodes = 1107, Initial probability = 0.0008, GC Size = 26, Avg Degree = 0.88
Epoch = 14, ER Nodes = 1112, Initial probability = 0.0008, GC Size = 41, Avg Degree = 0.89
Epoch = 15, ER Nodes = 1123, Initial probability = 0.0008, GC Size = 77, Avg Degree = 0.90
Epoch = 16, ER Nodes = 1139, Initial probability = 0.0008, GC Size = 85, Avg Degree = 0.91
Epoch = 17, ER Nodes = 1153, Initial probability = 0.0008, GC Size = 45, Avg Degree = 0.92
Epoch = 18, ER Nodes = 1162, Initial probability = 0.0008, GC Size = 51, Avg Degree = 0.93
Epoch = 19, ER Nodes = 1174, Initial probability = 0.0008, GC Size = 56, Avg Degree = 0.94
Epoch = 20, ER Nodes = 1188, Initial probability = 0.0008, GC Size = 86, Avg Degree = 0.95
Epoch = 21, ER Nodes = 1199, Initial probability = 0.0008, GC Size = 54, Avg Degree = 0.96
Epoch = 22, ER Nodes = 1216, Initial probability = 0.0008, GC Size = 108, Avg Degree = 0.97
Epoch = 23, ER Nodes = 1227, Initial probability = 0.0008, GC Size = 74, Avg Degree = 0.98
Epoch = 24, ER Nodes = 1247, Initial probability = 0.0008, GC Size = 66, Avg Degree = 1.00
Epoch = 25, ER Nodes = 1262, Initial probability = 0.0008, GC Size = 173, Avg Degree = 1.01
Epoch = 26, ER Nodes = 1274, Initial probability = 0.0008, GC Size = 91, Avg Degree = 1.02
Epoch = 27, ER Nodes = 1290, Initial probability = 0.0008, GC Size = 119, Avg Degree = 1.03
Epoch = 28, ER Nodes = 1302, Initial probability = 0.0008, GC Size = 193, Avg Degree = 1.04
Epoch = 29, ER Nodes = 1319, Initial probability = 0.0008, GC Size = 64, Avg Degree = 1.05
Epoch = 30, ER Nodes = 1336, Initial probability = 0.0008, GC Size = 94, Avg Degree = 1.07
Epoch = 31, ER Nodes = 1346, Initial probability = 0.0008, GC Size = 134, Avg Degree = 1.08
Epoch = 32, ER Nodes = 1361, Initial probability = 0.0008, GC Size = 291, Avg Degree = 1.09
Epoch = 33, ER Nodes = 1373, Initial probability = 0.0008, GC Size = 142, Avg Degree = 1.10
Epoch = 34, ER Nodes = 1390, Initial probability = 0.0008, GC Size = 115, Avg Degree = 1.11
Epoch = 35, ER Nodes = 1403, Initial probability = 0.0008, GC Size = 323, Avg Degree = 1.12
Epoch = 36, ER Nodes = 1416, Initial probability = 0.0008, GC Size = 352, Avg Degree = 1.13
Epoch = 37, ER Nodes = 1439, Initial probability = 0.0008, GC Size = 383, Avg Degree = 1.15
Epoch = 38, ER Nodes = 1455, Initial probability = 0.0008, GC Size = 333, Avg Degree = 1.16
Epoch = 39, ER Nodes = 1470, Initial probability = 0.0008, GC Size = 317, Avg Degree = 1.17
Epoch = 40, ER Nodes = 1496, Initial probability = 0.0008, GC Size = 427, Avg Degree = 1.20
Epoch = 41, ER Nodes = 1518, Initial probability = 0.0008, GC Size = 523, Avg Degree = 1.21
Epoch = 42, ER Nodes = 1540, Initial probability = 0.0008, GC Size = 616, Avg Degree = 1.23
