Epoch = 1, ER Nodes = 1000, Initial probability = 0.0003666666666666666, GC Size = 7, Avg Degree = 0.37
Epoch = 2, ER Nodes = 1005, Initial probability = 0.0003666666666666666, GC Size = 7, Avg Degree = 0.37
Epoch = 3, ER Nodes = 1009, Initial probability = 0.0003666666666666666, GC Size = 6, Avg Degree = 0.37
Epoch = 4, ER Nodes = 1015, Initial probability = 0.0003666666666666666, GC Size = 11, Avg Degree = 0.37
Epoch = 5, ER Nodes = 1016, Initial probability = 0.0003666666666666666, GC Size = 7, Avg Degree = 0.37
Epoch = 6, ER Nodes = 1021, Initial probability = 0.0003666666666666666, GC Size = 10, Avg Degree = 0.37
Epoch = 7, ER Nodes = 1025, Initial probability = 0.0003666666666666666, GC Size = 25, Avg Degree = 0.37
Epoch = 8, ER Nodes = 1033, Initial probability = 0.0003666666666666666, GC Size = 9, Avg Degree = 0.38
Epoch = 9, ER Nodes = 1035, Initial probability = 0.0003666666666666666, GC Size = 8, Avg Degree = 0.38
Epoch = 10, ER Nodes = 1039, Initial probability = 0.0003666666666666666, GC Size = 9, Avg Degree = 0.38
Epoch = 11, ER Nodes = 1041, Initial probability = 0.0003666666666666666, GC Size = 8, Avg Degree = 0.38
Epoch = 12, ER Nodes = 1046, Initial probability = 0.0003666666666666666, GC Size = 10, Avg Degree = 0.38
Epoch = 13, ER Nodes = 1050, Initial probability = 0.0003666666666666666, GC Size = 10, Avg Degree = 0.38
Epoch = 14, ER Nodes = 1055, Initial probability = 0.0003666666666666666, GC Size = 9, Avg Degree = 0.38
Epoch = 15, ER Nodes = 1058, Initial probability = 0.0003666666666666666, GC Size = 9, Avg Degree = 0.39
Epoch = 16, ER Nodes = 1060, Initial probability = 0.0003666666666666666, GC Size = 9, Avg Degree = 0.39
Epoch = 17, ER Nodes = 1062, Initial probability = 0.0003666666666666666, GC Size = 6, Avg Degree = 0.39
Epoch = 18, ER Nodes = 1068, Initial probability = 0.0003666666666666666, GC Size = 9, Avg Degree = 0.39
Epoch = 19, ER Nodes = 1071, Initial probability = 0.0003666666666666666, GC Size = 9, Avg Degree = 0.39
Epoch = 20, ER Nodes = 1075, Initial probability = 0.0003666666666666666, GC Size = 8, Avg Degree = 0.39
Epoch = 21, ER Nodes = 1077, Initial probability = 0.0003666666666666666, GC Size = 14, Avg Degree = 0.39
Epoch = 22, ER Nodes = 1080, Initial probability = 0.0003666666666666666, GC Size = 9, Avg Degree = 0.39
Epoch = 23, ER Nodes = 1088, Initial probability = 0.0003666666666666666, GC Size = 6, Avg Degree = 0.40
Epoch = 24, ER Nodes = 1092, Initial probability = 0.0003666666666666666, GC Size = 6, Avg Degree = 0.40
Epoch = 25, ER Nodes = 1096, Initial probability = 0.0003666666666666666, GC Size = 6, Avg Degree = 0.40
Epoch = 26, ER Nodes = 1098, Initial probability = 0.0003666666666666666, GC Size = 9, Avg Degree = 0.40
Epoch = 27, ER Nodes = 1102, Initial probability = 0.0003666666666666666, GC Size = 7, Avg Degree = 0.40
Epoch = 28, ER Nodes = 1105, Initial probability = 0.0003666666666666666, GC Size = 7, Avg Degree = 0.40
Epoch = 29, ER Nodes = 1114, Initial probability = 0.0003666666666666666, GC Size = 12, Avg Degree = 0.41
Epoch = 30, ER Nodes = 1121, Initial probability = 0.0003666666666666666, GC Size = 14, Avg Degree = 0.41
Epoch = 31, ER Nodes = 1123, Initial probability = 0.0003666666666666666, GC Size = 8, Avg Degree = 0.41
Epoch = 32, ER Nodes = 1125, Initial probability = 0.0003666666666666666, GC Size = 13, Avg Degree = 0.41
Epoch = 33, ER Nodes = 1131, Initial probability = 0.0003666666666666666, GC Size = 8, Avg Degree = 0.41
Epoch = 34, ER Nodes = 1138, Initial probability = 0.0003666666666666666, GC Size = 9, Avg Degree = 0.42
Epoch = 35, ER Nodes = 1141, Initial probability = 0.0003666666666666666, GC Size = 10, Avg Degree = 0.42
Epoch = 36, ER Nodes = 1147, Initial probability = 0.0003666666666666666, GC Size = 10, Avg Degree = 0.42
Epoch = 37, ER Nodes = 1154, Initial probability = 0.0003666666666666666, GC Size = 8, Avg Degree = 0.42
Epoch = 38, ER Nodes = 1164, Initial probability = 0.0003666666666666666, GC Size = 8, Avg Degree = 0.43
Epoch = 39, ER Nodes = 1168, Initial probability = 0.0003666666666666666, GC Size = 8, Avg Degree = 0.43
Epoch = 40, ER Nodes = 1173, Initial probability = 0.0003666666666666666, GC Size = 11, Avg Degree = 0.43
Epoch = 41, ER Nodes = 1176, Initial probability = 0.0003666666666666666, GC Size = 14, Avg Degree = 0.43
Epoch = 42, ER Nodes = 1181, Initial probability = 0.0003666666666666666, GC Size = 10, Avg Degree = 0.43
Epoch = 43, ER Nodes = 1186, Initial probability = 0.0003666666666666666, GC Size = 10, Avg Degree = 0.43
Epoch = 44, ER Nodes = 1191, Initial probability = 0.0003666666666666666, GC Size = 11, Avg Degree = 0.43
Epoch = 45, ER Nodes = 1197, Initial probability = 0.0003666666666666666, GC Size = 9, Avg Degree = 0.44
Epoch = 46, ER Nodes = 1202, Initial probability = 0.0003666666666666666, GC Size = 7, Avg Degree = 0.44
Epoch = 47, ER Nodes = 1208, Initial probability = 0.0003666666666666666, GC Size = 11, Avg Degree = 0.44
Epoch = 48, ER Nodes = 1215, Initial probability = 0.0003666666666666666, GC Size = 11, Avg Degree = 0.44
Epoch = 49, ER Nodes = 1219, Initial probability = 0.0003666666666666666, GC Size = 11, Avg Degree = 0.45
Epoch = 50, ER Nodes = 1222, Initial probability = 0.0003666666666666666, GC Size = 7, Avg Degree = 0.45
Epoch = 51, ER Nodes = 1228, Initial probability = 0.0003666666666666666, GC Size = 15, Avg Degree = 0.45
Epoch = 52, ER Nodes = 1235, Initial probability = 0.0003666666666666666, GC Size = 16, Avg Degree = 0.45
Epoch = 53, ER Nodes = 1238, Initial probability = 0.0003666666666666666, GC Size = 9, Avg Degree = 0.45
Epoch = 54, ER Nodes = 1244, Initial probability = 0.0003666666666666666, GC Size = 11, Avg Degree = 0.45
Epoch = 55, ER Nodes = 1249, Initial probability = 0.0003666666666666666, GC Size = 11, Avg Degree = 0.46
Epoch = 56, ER Nodes = 1257, Initial probability = 0.0003666666666666666, GC Size = 13, Avg Degree = 0.46
Epoch = 57, ER Nodes = 1266, Initial probability = 0.0003666666666666666, GC Size = 10, Avg Degree = 0.46
Epoch = 58, ER Nodes = 1272, Initial probability = 0.0003666666666666666, GC Size = 11, Avg Degree = 0.47
Epoch = 59, ER Nodes = 1278, Initial probability = 0.0003666666666666666, GC Size = 14, Avg Degree = 0.47
Epoch = 60, ER Nodes = 1281, Initial probability = 0.0003666666666666666, GC Size = 15, Avg Degree = 0.47
Epoch = 61, ER Nodes = 1286, Initial probability = 0.0003666666666666666, GC Size = 10, Avg Degree = 0.47
Epoch = 62, ER Nodes = 1293, Initial probability = 0.0003666666666666666, GC Size = 14, Avg Degree = 0.47
Epoch = 63, ER Nodes = 1298, Initial probability = 0.0003666666666666666, GC Size = 13, Avg Degree = 0.47
Epoch = 64, ER Nodes = 1305, Initial probability = 0.0003666666666666666, GC Size = 12, Avg Degree = 0.48
Epoch = 65, ER Nodes = 1312, Initial probability = 0.0003666666666666666, GC Size = 13, Avg Degree = 0.48
Epoch = 66, ER Nodes = 1319, Initial probability = 0.0003666666666666666, GC Size = 15, Avg Degree = 0.48
Epoch = 67, ER Nodes = 1320, Initial probability = 0.0003666666666666666, GC Size = 13, Avg Degree = 0.48
Epoch = 68, ER Nodes = 1325, Initial probability = 0.0003666666666666666, GC Size = 10, Avg Degree = 0.48
Epoch = 69, ER Nodes = 1331, Initial probability = 0.0003666666666666666, GC Size = 8, Avg Degree = 0.49
Epoch = 70, ER Nodes = 1333, Initial probability = 0.0003666666666666666, GC Size = 10, Avg Degree = 0.49
Epoch = 71, ER Nodes = 1339, Initial probability = 0.0003666666666666666, GC Size = 15, Avg Degree = 0.49
Epoch = 72, ER Nodes = 1344, Initial probability = 0.0003666666666666666, GC Size = 16, Avg Degree = 0.49
Epoch = 73, ER Nodes = 1349, Initial probability = 0.0003666666666666666, GC Size = 14, Avg Degree = 0.49
Epoch = 74, ER Nodes = 1358, Initial probability = 0.0003666666666666666, GC Size = 7, Avg Degree = 0.50
Epoch = 75, ER Nodes = 1366, Initial probability = 0.0003666666666666666, GC Size = 10, Avg Degree = 0.50
Epoch = 76, ER Nodes = 1370, Initial probability = 0.0003666666666666666, GC Size = 10, Avg Degree = 0.50
Epoch = 77, ER Nodes = 1380, Initial probability = 0.0003666666666666666, GC Size = 10, Avg Degree = 0.50
Epoch = 78, ER Nodes = 1386, Initial probability = 0.0003666666666666666, GC Size = 12, Avg Degree = 0.51
Epoch = 79, ER Nodes = 1393, Initial probability = 0.0003666666666666666, GC Size = 12, Avg Degree = 0.51
Epoch = 80, ER Nodes = 1402, Initial probability = 0.0003666666666666666, GC Size = 8, Avg Degree = 0.51
