Epoch = 48, ER Nodes = 1090, removal debris = 12, Initial probability = 0.0003, GC Size = 6, Avg Degree = 0.33, removal rate = 12
Epoch = 49, ER Nodes = 1095, removal debris = 12, Initial probability = 0.0003, GC Size = 8, Avg Degree = 0.33, removal rate = 12
Epoch = 50, ER Nodes = 1097, removal debris = 12, Initial probability = 0.0003, GC Size = 6, Avg Degree = 0.33, removal rate = 12
Epoch = 51, ER Nodes = 1092, removal debris = 12, Initial probability = 0.0003, GC Size = 6, Avg Degree = 0.33, removal rate = 12
Epoch = 52, ER Nodes = 1094, removal debris = 12, Initial probability = 0.0003, GC Size = 7, Avg Degree = 0.33, removal rate = 12
Epoch = 53, ER Nodes = 1095, removal debris = 12, Initial probability = 0.0003, GC Size = 6, Avg Degree = 0.33, removal rate = 12
Epoch = 54, ER Nodes = 1100, removal debris = 12, Initial probability = 0.0003, GC Size = 8, Avg Degree = 0.33, removal rate = 12
Epoch = 55, ER Nodes = 1105, removal debris = 12, Initial probability = 0.0003, GC Size = 8, Avg Degree = 0.33, removal rate = 12
Epoch = 56, ER Nodes = 1109, removal debris = 12, Initial probability = 0.0003, GC Size = 9, Avg Degree = 0.33, removal rate = 12
Epoch = 57, ER Nodes = 1112, removal debris = 12, Initial probability = 0.0003, GC Size = 8, Avg Degree = 0.33, removal rate = 12
Epoch = 58, ER Nodes = 1119, removal debris = 12, Initial probability = 0.0003, GC Size = 12, Avg Degree = 0.33, removal rate = 12
Epoch = 59, ER Nodes = 1125, removal debris = 12, Initial probability = 0.0003, GC Size = 8, Avg Degree = 0.34, removal rate = 12
Epoch = 60, ER Nodes = 1130, removal debris = 12, Initial probability = 0.0003, GC Size = 6, Avg Degree = 0.34, removal rate = 12
Epoch = 61, ER Nodes = 1123, removal debris = 12, Initial probability = 0.0003, GC Size = 7, Avg Degree = 0.34, removal rate = 12
Epoch = 62, ER Nodes = 1123, removal debris = 12, Initial probability = 0.0003, GC Size = 6, Avg Degree = 0.34, removal rate = 12
Epoch = 63, ER Nodes = 1125, removal debris = 12, Initial probability = 0.0003, GC Size = 5, Avg Degree = 0.34, removal rate = 12
Epoch = 64, ER Nodes = 1131, removal debris = 12, Initial probability = 0.0003, GC Size = 6, Avg Degree = 0.34, removal rate = 12
Epoch = 65, ER Nodes = 1134, removal debris = 12, Initial probability = 0.0003, GC Size = 6, Avg Degree = 0.34, removal rate = 12
Epoch = 66, ER Nodes = 1140, removal debris = 12, Initial probability = 0.0003, GC Size = 8, Avg Degree = 0.34, removal rate = 12
Epoch = 67, ER Nodes = 1150, removal debris = 12, Initial probability = 0.0003, GC Size = 11, Avg Degree = 0.34, removal rate = 12
Epoch = 68, ER Nodes = 1156, removal debris = 12, Initial probability = 0.0003, GC Size = 6, Avg Degree = 0.35, removal rate = 12
Epoch = 69, ER Nodes = 1159, removal debris = 12, Initial probability = 0.0003, GC Size = 10, Avg Degree = 0.35, removal rate = 12
Epoch = 70, ER Nodes = 1162, removal debris = 12, Initial probability = 0.0003, GC Size = 6, Avg Degree = 0.35, removal rate = 12
Epoch = 71, ER Nodes = 1157, removal debris = 12, Initial probability = 0.0003, GC Size = 8, Avg Degree = 0.35, removal rate = 12
Epoch = 72, ER Nodes = 1157, removal debris = 12, Initial probability = 0.0003, GC Size = 7, Avg Degree = 0.35, removal rate = 12
Epoch = 73, ER Nodes = 1160, removal debris = 12, Initial probability = 0.0003, GC Size = 7, Avg Degree = 0.35, removal rate = 12
Epoch = 74, ER Nodes = 1165, removal debris = 12, Initial probability = 0.0003, GC Size = 10, Avg Degree = 0.35, removal rate = 12
Epoch = 75, ER Nodes = 1175, removal debris = 12, Initial probability = 0.0003, GC Size = 9, Avg Degree = 0.35, removal rate = 12
Epoch = 76, ER Nodes = 1177, removal debris = 12, Initial probability = 0.0003, GC Size = 5, Avg Degree = 0.35, removal rate = 12
Epoch = 77, ER Nodes = 1184, removal debris = 12, Initial probability = 0.0003, GC Size = 16, Avg Degree = 0.35, removal rate = 12
Epoch = 78, ER Nodes = 1190, removal debris = 12, Initial probability = 0.0003, GC Size = 8, Avg Degree = 0.36, removal rate = 12
Epoch = 79, ER Nodes = 1197, removal debris = 12, Initial probability = 0.0003, GC Size = 5, Avg Degree = 0.36, removal rate = 12
Epoch = 80, ER Nodes = 1202, removal debris = 12, Initial probability = 0.0003, GC Size = 10, Avg Degree = 0.36, removal rate = 12
Epoch = 81, ER Nodes = 1198, removal debris = 12, Initial probability = 0.0003, GC Size = 9, Avg Degree = 0.36, removal rate = 12
Epoch = 82, ER Nodes = 1200, removal debris = 12, Initial probability = 0.0003, GC Size = 5, Avg Degree = 0.36, removal rate = 12
Epoch = 83, ER Nodes = 1203, removal debris = 12, Initial probability = 0.0003, GC Size = 9, Avg Degree = 0.36, removal rate = 12
Epoch = 84, ER Nodes = 1206, removal debris = 12, Initial probability = 0.0003, GC Size = 6, Avg Degree = 0.36, removal rate = 12
Epoch = 85, ER Nodes = 1212, removal debris = 12, Initial probability = 0.0003, GC Size = 8, Avg Degree = 0.36, removal rate = 12
Epoch = 86, ER Nodes = 1217, removal debris = 12, Initial probability = 0.0003, GC Size = 6, Avg Degree = 0.36, removal rate = 12
Epoch = 87, ER Nodes = 1223, removal debris = 12, Initial probability = 0.0003, GC Size = 9, Avg Degree = 0.37, removal rate = 12
Epoch = 88, ER Nodes = 1228, removal debris = 12, Initial probability = 0.0003, GC Size = 7, Avg Degree = 0.37, removal rate = 12
Epoch = 89, ER Nodes = 1232, removal debris = 12, Initial probability = 0.0003, GC Size = 8, Avg Degree = 0.37, removal rate = 12
Epoch = 90, ER Nodes = 1235, removal debris = 12, Initial probability = 0.0003, GC Size = 8, Avg Degree = 0.37, removal rate = 12
Epoch = 91, ER Nodes = 1232, removal debris = 12, Initial probability = 0.0003, GC Size = 9, Avg Degree = 0.37, removal rate = 12
Epoch = 92, ER Nodes = 1233, removal debris = 12, Initial probability = 0.0003, GC Size = 9, Avg Degree = 0.37, removal rate = 12
Epoch = 93, ER Nodes = 1238, removal debris = 12, Initial probability = 0.0003, GC Size = 9, Avg Degree = 0.37, removal rate = 12
Epoch = 94, ER Nodes = 1243, removal debris = 12, Initial probability = 0.0003, GC Size = 7, Avg Degree = 0.37, removal rate = 12
Epoch = 95, ER Nodes = 1250, removal debris = 12, Initial probability = 0.0003, GC Size = 7, Avg Degree = 0.37, removal rate = 12
Epoch = 96, ER Nodes = 1254, removal debris = 12, Initial probability = 0.0003, GC Size = 8, Avg Degree = 0.37, removal rate = 12
Epoch = 97, ER Nodes = 1260, removal debris = 12, Initial probability = 0.0003, GC Size = 8, Avg Degree = 0.38, removal rate = 12
Epoch = 98, ER Nodes = 1267, removal debris = 12, Initial probability = 0.0003, GC Size = 10, Avg Degree = 0.38, removal rate = 12
Epoch = 99, ER Nodes = 1268, removal debris = 12, Initial probability = 0.0003, GC Size = 9, Avg Degree = 0.38, removal rate = 12
Epoch = 100, ER Nodes = 1274, removal debris = 12, Initial probability = 0.0003, GC Size = 13, Avg Degree = 0.38, removal rate = 12
Epoch = 101, ER Nodes = 1270, removal debris = 12, Initial probability = 0.0003, GC Size = 10, Avg Degree = 0.38, removal rate = 12
Epoch = 102, ER Nodes = 1271, removal debris = 12, Initial probability = 0.0003, GC Size = 6, Avg Degree = 0.38, removal rate = 12
Epoch = 103, ER Nodes = 1273, removal debris = 12, Initial probability = 0.0003, GC Size = 9, Avg Degree = 0.38, removal rate = 12
Epoch = 104, ER Nodes = 1280, removal debris = 12, Initial probability = 0.0003, GC Size = 15, Avg Degree = 0.38, removal rate = 12
Epoch = 105, ER Nodes = 1284, removal debris = 12, Initial probability = 0.0003, GC Size = 7, Avg Degree = 0.38, removal rate = 12
Epoch = 106, ER Nodes = 1293, removal debris = 12, Initial probability = 0.0003, GC Size = 8, Avg Degree = 0.39, removal rate = 12
Epoch = 107, ER Nodes = 1299, removal debris = 12, Initial probability = 0.0003, GC Size = 11, Avg Degree = 0.39, removal rate = 12
Epoch = 108, ER Nodes = 1305, removal debris = 12, Initial probability = 0.0003, GC Size = 8, Avg Degree = 0.39, removal rate = 12
Epoch = 109, ER Nodes = 1313, removal debris = 12, Initial probability = 0.0003, GC Size = 8, Avg Degree = 0.39, removal rate = 12
Epoch = 110, ER Nodes = 1319, removal debris = 12, Initial probability = 0.0003, GC Size = 17, Avg Degree = 0.39, removal rate = 12
Epoch = 111, ER Nodes = 1318, removal debris = 12, Initial probability = 0.0003, GC Size = 12, Avg Degree = 0.40, removal rate = 12
Epoch = 112, ER Nodes = 1322, removal debris = 12, Initial probability = 0.0003, GC Size = 7, Avg Degree = 0.39, removal rate = 12
Epoch = 113, ER Nodes = 1328, removal debris = 12, Initial probability = 0.0003, GC Size = 9, Avg Degree = 0.40, removal rate = 12
Epoch = 114, ER Nodes = 1330, removal debris = 12, Initial probability = 0.0003, GC Size = 13, Avg Degree = 0.40, removal rate = 12
Epoch = 115, ER Nodes = 1337, removal debris = 12, Initial probability = 0.0003, GC Size = 10, Avg Degree = 0.40, removal rate = 12
Epoch = 116, ER Nodes = 1344, removal debris = 12, Initial probability = 0.0003, GC Size = 9, Avg Degree = 0.40, removal rate = 12
Epoch = 117, ER Nodes = 1349, removal debris = 12, Initial probability = 0.0003, GC Size = 10, Avg Degree = 0.40, removal rate = 12
Epoch = 118, ER Nodes = 1351, removal debris = 12, Initial probability = 0.0003, GC Size = 7, Avg Degree = 0.40, removal rate = 12
Epoch = 119, ER Nodes = 1357, removal debris = 12, Initial probability = 0.0003, GC Size = 12, Avg Degree = 0.41, removal rate = 12
Epoch = 120, ER Nodes = 1359, removal debris = 12, Initial probability = 0.0003, GC Size = 7, Avg Degree = 0.41, removal rate = 12
Epoch = 121, ER Nodes = 1355, removal debris = 12, Initial probability = 0.0003, GC Size = 9, Avg Degree = 0.41, removal rate = 12
Epoch = 122, ER Nodes = 1356, removal debris = 12, Initial probability = 0.0003, GC Size = 7, Avg Degree = 0.41, removal rate = 12
Epoch = 123, ER Nodes = 1360, removal debris = 12, Initial probability = 0.0003, GC Size = 9, Avg Degree = 0.41, removal rate = 12
Epoch = 124, ER Nodes = 1367, removal debris = 12, Initial probability = 0.0003, GC Size = 10, Avg Degree = 0.41, removal rate = 12
Epoch = 125, ER Nodes = 1373, removal debris = 12, Initial probability = 0.0003, GC Size = 7, Avg Degree = 0.41, removal rate = 12
Epoch = 126, ER Nodes = 1381, removal debris = 12, Initial probability = 0.0003, GC Size = 8, Avg Degree = 0.41, removal rate = 12
Epoch = 127, ER Nodes = 1386, removal debris = 12, Initial probability = 0.0003, GC Size = 11, Avg Degree = 0.41, removal rate = 12
Epoch = 128, ER Nodes = 1395, removal debris = 12, Initial probability = 0.0003, GC Size = 7, Avg Degree = 0.42, removal rate = 12
Epoch = 129, ER Nodes = 1398, removal debris = 12, Initial probability = 0.0003, GC Size = 13, Avg Degree = 0.42, removal rate = 12
Epoch = 130, ER Nodes = 1406, removal debris = 12, Initial probability = 0.0003, GC Size = 14, Avg Degree = 0.42, removal rate = 12
