Epoch = 1, ER Nodes = 1000, Initial probability = 0.0008111111111111111, GC Size = 30, Avg Degree = 0.81
Epoch = 2, ER Nodes = 1010, Initial probability = 0.0008111111111111111, GC Size = 31, Avg Degree = 0.82
Epoch = 3, ER Nodes = 1016, Initial probability = 0.0008111111111111111, GC Size = 27, Avg Degree = 0.82
Epoch = 4, ER Nodes = 1027, Initial probability = 0.0008111111111111111, GC Size = 34, Avg Degree = 0.83
Epoch = 5, ER Nodes = 1035, Initial probability = 0.0008111111111111111, GC Size = 28, Avg Degree = 0.84
Epoch = 6, ER Nodes = 1040, Initial probability = 0.0008111111111111111, GC Size = 107, Avg Degree = 0.84
Epoch = 7, ER Nodes = 1046, Initial probability = 0.0008111111111111111, GC Size = 108, Avg Degree = 0.85
Epoch = 8, ER Nodes = 1053, Initial probability = 0.0008111111111111111, GC Size = 47, Avg Degree = 0.85
Epoch = 9, ER Nodes = 1060, Initial probability = 0.0008111111111111111, GC Size = 28, Avg Degree = 0.86
Epoch = 10, ER Nodes = 1069, Initial probability = 0.0008111111111111111, GC Size = 91, Avg Degree = 0.87
Epoch = 11, ER Nodes = 1079, Initial probability = 0.0008111111111111111, GC Size = 66, Avg Degree = 0.87
Epoch = 12, ER Nodes = 1089, Initial probability = 0.0008111111111111111, GC Size = 55, Avg Degree = 0.88
Epoch = 13, ER Nodes = 1095, Initial probability = 0.0008111111111111111, GC Size = 31, Avg Degree = 0.89
Epoch = 14, ER Nodes = 1104, Initial probability = 0.0008111111111111111, GC Size = 32, Avg Degree = 0.89
Epoch = 15, ER Nodes = 1108, Initial probability = 0.0008111111111111111, GC Size = 30, Avg Degree = 0.90
Epoch = 16, ER Nodes = 1119, Initial probability = 0.0008111111111111111, GC Size = 35, Avg Degree = 0.91
Epoch = 17, ER Nodes = 1126, Initial probability = 0.0008111111111111111, GC Size = 162, Avg Degree = 0.91
Epoch = 18, ER Nodes = 1131, Initial probability = 0.0008111111111111111, GC Size = 44, Avg Degree = 0.92
Epoch = 19, ER Nodes = 1139, Initial probability = 0.0008111111111111111, GC Size = 42, Avg Degree = 0.92
Epoch = 20, ER Nodes = 1152, Initial probability = 0.0008111111111111111, GC Size = 53, Avg Degree = 0.93
Epoch = 21, ER Nodes = 1162, Initial probability = 0.0008111111111111111, GC Size = 71, Avg Degree = 0.94
Epoch = 22, ER Nodes = 1170, Initial probability = 0.0008111111111111111, GC Size = 165, Avg Degree = 0.95
