Epoch = 1, ER Nodes = 1000, Initial probability = 0.0004555555555555555, GC Size = 9, Avg Degree = 0.45
Epoch = 2, ER Nodes = 1001, Initial probability = 0.0004555555555555555, GC Size = 10, Avg Degree = 0.46
Epoch = 3, ER Nodes = 1005, Initial probability = 0.0004555555555555555, GC Size = 11, Avg Degree = 0.46
Epoch = 4, ER Nodes = 1013, Initial probability = 0.0004555555555555555, GC Size = 10, Avg Degree = 0.46
Epoch = 5, ER Nodes = 1016, Initial probability = 0.0004555555555555555, GC Size = 10, Avg Degree = 0.46
Epoch = 6, ER Nodes = 1020, Initial probability = 0.0004555555555555555, GC Size = 10, Avg Degree = 0.46
Epoch = 7, ER Nodes = 1021, Initial probability = 0.0004555555555555555, GC Size = 10, Avg Degree = 0.46
Epoch = 8, ER Nodes = 1023, Initial probability = 0.0004555555555555555, GC Size = 19, Avg Degree = 0.47
Epoch = 9, ER Nodes = 1027, Initial probability = 0.0004555555555555555, GC Size = 21, Avg Degree = 0.47
Epoch = 10, ER Nodes = 1032, Initial probability = 0.0004555555555555555, GC Size = 8, Avg Degree = 0.47
Epoch = 11, ER Nodes = 1033, Initial probability = 0.0004555555555555555, GC Size = 5, Avg Degree = 0.47
Epoch = 12, ER Nodes = 1040, Initial probability = 0.0004555555555555555, GC Size = 8, Avg Degree = 0.47
Epoch = 13, ER Nodes = 1049, Initial probability = 0.0004555555555555555, GC Size = 12, Avg Degree = 0.48
Epoch = 14, ER Nodes = 1055, Initial probability = 0.0004555555555555555, GC Size = 7, Avg Degree = 0.48
Epoch = 15, ER Nodes = 1063, Initial probability = 0.0004555555555555555, GC Size = 10, Avg Degree = 0.48
Epoch = 16, ER Nodes = 1067, Initial probability = 0.0004555555555555555, GC Size = 9, Avg Degree = 0.49
Epoch = 17, ER Nodes = 1076, Initial probability = 0.0004555555555555555, GC Size = 15, Avg Degree = 0.49
Epoch = 18, ER Nodes = 1082, Initial probability = 0.0004555555555555555, GC Size = 10, Avg Degree = 0.49
Epoch = 19, ER Nodes = 1091, Initial probability = 0.0004555555555555555, GC Size = 6, Avg Degree = 0.49
Epoch = 20, ER Nodes = 1095, Initial probability = 0.0004555555555555555, GC Size = 7, Avg Degree = 0.50
Epoch = 21, ER Nodes = 1100, Initial probability = 0.0004555555555555555, GC Size = 10, Avg Degree = 0.50
Epoch = 22, ER Nodes = 1105, Initial probability = 0.0004555555555555555, GC Size = 14, Avg Degree = 0.50
Epoch = 23, ER Nodes = 1112, Initial probability = 0.0004555555555555555, GC Size = 15, Avg Degree = 0.51
Epoch = 24, ER Nodes = 1119, Initial probability = 0.0004555555555555555, GC Size = 11, Avg Degree = 0.51
Epoch = 25, ER Nodes = 1126, Initial probability = 0.0004555555555555555, GC Size = 16, Avg Degree = 0.51
Epoch = 26, ER Nodes = 1132, Initial probability = 0.0004555555555555555, GC Size = 16, Avg Degree = 0.51
Epoch = 27, ER Nodes = 1138, Initial probability = 0.0004555555555555555, GC Size = 8, Avg Degree = 0.52
Epoch = 28, ER Nodes = 1145, Initial probability = 0.0004555555555555555, GC Size = 14, Avg Degree = 0.52
Epoch = 29, ER Nodes = 1148, Initial probability = 0.0004555555555555555, GC Size = 24, Avg Degree = 0.52
Epoch = 30, ER Nodes = 1152, Initial probability = 0.0004555555555555555, GC Size = 11, Avg Degree = 0.52
Epoch = 31, ER Nodes = 1154, Initial probability = 0.0004555555555555555, GC Size = 10, Avg Degree = 0.53
Epoch = 32, ER Nodes = 1163, Initial probability = 0.0004555555555555555, GC Size = 9, Avg Degree = 0.53
Epoch = 33, ER Nodes = 1168, Initial probability = 0.0004555555555555555, GC Size = 11, Avg Degree = 0.53
Epoch = 34, ER Nodes = 1172, Initial probability = 0.0004555555555555555, GC Size = 17, Avg Degree = 0.53
Epoch = 35, ER Nodes = 1180, Initial probability = 0.0004555555555555555, GC Size = 8, Avg Degree = 0.54
Epoch = 36, ER Nodes = 1191, Initial probability = 0.0004555555555555555, GC Size = 10, Avg Degree = 0.54
