Epoch = 1, ER Nodes = 1000, Initial probability = 0.0007222222222222222, GC Size = 25, Avg Degree = 0.72
Epoch = 2, ER Nodes = 1007, Initial probability = 0.0007222222222222222, GC Size = 41, Avg Degree = 0.72
Epoch = 3, ER Nodes = 1019, Initial probability = 0.0007222222222222222, GC Size = 21, Avg Degree = 0.73
Epoch = 4, ER Nodes = 1024, Initial probability = 0.0007222222222222222, GC Size = 60, Avg Degree = 0.74
Epoch = 5, ER Nodes = 1032, Initial probability = 0.0007222222222222222, GC Size = 31, Avg Degree = 0.74
Epoch = 6, ER Nodes = 1040, Initial probability = 0.0007222222222222222, GC Size = 22, Avg Degree = 0.75
Epoch = 7, ER Nodes = 1043, Initial probability = 0.0007222222222222222, GC Size = 21, Avg Degree = 0.75
Epoch = 8, ER Nodes = 1052, Initial probability = 0.0007222222222222222, GC Size = 22, Avg Degree = 0.76
Epoch = 9, ER Nodes = 1057, Initial probability = 0.0007222222222222222, GC Size = 31, Avg Degree = 0.76
Epoch = 10, ER Nodes = 1069, Initial probability = 0.0007222222222222222, GC Size = 28, Avg Degree = 0.77
Epoch = 11, ER Nodes = 1076, Initial probability = 0.0007222222222222222, GC Size = 23, Avg Degree = 0.78
Epoch = 12, ER Nodes = 1084, Initial probability = 0.0007222222222222222, GC Size = 24, Avg Degree = 0.78
Epoch = 13, ER Nodes = 1089, Initial probability = 0.0007222222222222222, GC Size = 24, Avg Degree = 0.78
Epoch = 14, ER Nodes = 1101, Initial probability = 0.0007222222222222222, GC Size = 33, Avg Degree = 0.79
Epoch = 15, ER Nodes = 1111, Initial probability = 0.0007222222222222222, GC Size = 25, Avg Degree = 0.80
Epoch = 16, ER Nodes = 1120, Initial probability = 0.0007222222222222222, GC Size = 58, Avg Degree = 0.81
Epoch = 17, ER Nodes = 1131, Initial probability = 0.0007222222222222222, GC Size = 28, Avg Degree = 0.82
Epoch = 18, ER Nodes = 1143, Initial probability = 0.0007222222222222222, GC Size = 24, Avg Degree = 0.82
Epoch = 19, ER Nodes = 1154, Initial probability = 0.0007222222222222222, GC Size = 34, Avg Degree = 0.83
Epoch = 20, ER Nodes = 1164, Initial probability = 0.0007222222222222222, GC Size = 46, Avg Degree = 0.84
Epoch = 21, ER Nodes = 1170, Initial probability = 0.0007222222222222222, GC Size = 81, Avg Degree = 0.84
Epoch = 22, ER Nodes = 1176, Initial probability = 0.0007222222222222222, GC Size = 68, Avg Degree = 0.85
Epoch = 23, ER Nodes = 1191, Initial probability = 0.0007222222222222222, GC Size = 29, Avg Degree = 0.86
Epoch = 24, ER Nodes = 1200, Initial probability = 0.0007222222222222222, GC Size = 77, Avg Degree = 0.86
Epoch = 25, ER Nodes = 1207, Initial probability = 0.0007222222222222222, GC Size = 37, Avg Degree = 0.87
Epoch = 26, ER Nodes = 1216, Initial probability = 0.0007222222222222222, GC Size = 47, Avg Degree = 0.88
Epoch = 27, ER Nodes = 1226, Initial probability = 0.0007222222222222222, GC Size = 33, Avg Degree = 0.88
Epoch = 28, ER Nodes = 1236, Initial probability = 0.0007222222222222222, GC Size = 44, Avg Degree = 0.89
Epoch = 29, ER Nodes = 1253, Initial probability = 0.0007222222222222222, GC Size = 59, Avg Degree = 0.90
Epoch = 30, ER Nodes = 1260, Initial probability = 0.0007222222222222222, GC Size = 37, Avg Degree = 0.91
Epoch = 31, ER Nodes = 1265, Initial probability = 0.0007222222222222222, GC Size = 23, Avg Degree = 0.91
Epoch = 32, ER Nodes = 1275, Initial probability = 0.0007222222222222222, GC Size = 61, Avg Degree = 0.92
Epoch = 33, ER Nodes = 1281, Initial probability = 0.0007222222222222222, GC Size = 66, Avg Degree = 0.92
Epoch = 34, ER Nodes = 1294, Initial probability = 0.0007222222222222222, GC Size = 56, Avg Degree = 0.93
Epoch = 35, ER Nodes = 1306, Initial probability = 0.0007222222222222222, GC Size = 86, Avg Degree = 0.94
Epoch = 36, ER Nodes = 1317, Initial probability = 0.0007222222222222222, GC Size = 51, Avg Degree = 0.95
Epoch = 37, ER Nodes = 1331, Initial probability = 0.0007222222222222222, GC Size = 73, Avg Degree = 0.96
Epoch = 38, ER Nodes = 1345, Initial probability = 0.0007222222222222222, GC Size = 79, Avg Degree = 0.97
Epoch = 39, ER Nodes = 1356, Initial probability = 0.0007222222222222222, GC Size = 75, Avg Degree = 0.98
Epoch = 40, ER Nodes = 1366, Initial probability = 0.0007222222222222222, GC Size = 118, Avg Degree = 0.99
Epoch = 41, ER Nodes = 1378, Initial probability = 0.0007222222222222222, GC Size = 67, Avg Degree = 0.99
Epoch = 42, ER Nodes = 1391, Initial probability = 0.0007222222222222222, GC Size = 59, Avg Degree = 1.00
Epoch = 43, ER Nodes = 1409, Initial probability = 0.0007222222222222222, GC Size = 125, Avg Degree = 1.02
Epoch = 44, ER Nodes = 1426, Initial probability = 0.0007222222222222222, GC Size = 139, Avg Degree = 1.03
Epoch = 45, ER Nodes = 1435, Initial probability = 0.0007222222222222222, GC Size = 127, Avg Degree = 1.04
Epoch = 46, ER Nodes = 1453, Initial probability = 0.0007222222222222222, GC Size = 164, Avg Degree = 1.05
