Epoch = 1, ER Nodes = 1000, Initial probability = 0.0006333333333333333, GC Size = 16, Avg Degree = 0.63
Epoch = 2, ER Nodes = 1003, Initial probability = 0.0006333333333333333, GC Size = 19, Avg Degree = 0.63
Epoch = 3, ER Nodes = 1009, Initial probability = 0.0006333333333333333, GC Size = 12, Avg Degree = 0.64
Epoch = 4, ER Nodes = 1018, Initial probability = 0.0006333333333333333, GC Size = 25, Avg Degree = 0.64
Epoch = 5, ER Nodes = 1024, Initial probability = 0.0006333333333333333, GC Size = 19, Avg Degree = 0.65
Epoch = 6, ER Nodes = 1030, Initial probability = 0.0006333333333333333, GC Size = 14, Avg Degree = 0.65
Epoch = 7, ER Nodes = 1032, Initial probability = 0.0006333333333333333, GC Size = 13, Avg Degree = 0.65
Epoch = 8, ER Nodes = 1042, Initial probability = 0.0006333333333333333, GC Size = 17, Avg Degree = 0.66
Epoch = 9, ER Nodes = 1055, Initial probability = 0.0006333333333333333, GC Size = 13, Avg Degree = 0.67
Epoch = 10, ER Nodes = 1061, Initial probability = 0.0006333333333333333, GC Size = 21, Avg Degree = 0.67
Epoch = 11, ER Nodes = 1067, Initial probability = 0.0006333333333333333, GC Size = 14, Avg Degree = 0.67
Epoch = 12, ER Nodes = 1072, Initial probability = 0.0006333333333333333, GC Size = 19, Avg Degree = 0.68
Epoch = 13, ER Nodes = 1083, Initial probability = 0.0006333333333333333, GC Size = 14, Avg Degree = 0.69
Epoch = 14, ER Nodes = 1092, Initial probability = 0.0006333333333333333, GC Size = 21, Avg Degree = 0.69
Epoch = 15, ER Nodes = 1100, Initial probability = 0.0006333333333333333, GC Size = 21, Avg Degree = 0.69
Epoch = 16, ER Nodes = 1110, Initial probability = 0.0006333333333333333, GC Size = 19, Avg Degree = 0.70
Epoch = 17, ER Nodes = 1119, Initial probability = 0.0006333333333333333, GC Size = 21, Avg Degree = 0.71
Epoch = 18, ER Nodes = 1127, Initial probability = 0.0006333333333333333, GC Size = 16, Avg Degree = 0.71
Epoch = 19, ER Nodes = 1133, Initial probability = 0.0006333333333333333, GC Size = 19, Avg Degree = 0.72
Epoch = 20, ER Nodes = 1140, Initial probability = 0.0006333333333333333, GC Size = 20, Avg Degree = 0.72
Epoch = 21, ER Nodes = 1152, Initial probability = 0.0006333333333333333, GC Size = 44, Avg Degree = 0.73
Epoch = 22, ER Nodes = 1158, Initial probability = 0.0006333333333333333, GC Size = 26, Avg Degree = 0.73
Epoch = 23, ER Nodes = 1166, Initial probability = 0.0006333333333333333, GC Size = 27, Avg Degree = 0.74
Epoch = 24, ER Nodes = 1177, Initial probability = 0.0006333333333333333, GC Size = 21, Avg Degree = 0.74
Epoch = 25, ER Nodes = 1188, Initial probability = 0.0006333333333333333, GC Size = 25, Avg Degree = 0.75
Epoch = 26, ER Nodes = 1197, Initial probability = 0.0006333333333333333, GC Size = 50, Avg Degree = 0.76
Epoch = 27, ER Nodes = 1208, Initial probability = 0.0006333333333333333, GC Size = 27, Avg Degree = 0.76
Epoch = 28, ER Nodes = 1218, Initial probability = 0.0006333333333333333, GC Size = 49, Avg Degree = 0.77
Epoch = 29, ER Nodes = 1228, Initial probability = 0.0006333333333333333, GC Size = 23, Avg Degree = 0.78
Epoch = 30, ER Nodes = 1235, Initial probability = 0.0006333333333333333, GC Size = 31, Avg Degree = 0.78
Epoch = 31, ER Nodes = 1241, Initial probability = 0.0006333333333333333, GC Size = 40, Avg Degree = 0.78
Epoch = 32, ER Nodes = 1250, Initial probability = 0.0006333333333333333, GC Size = 26, Avg Degree = 0.79
Epoch = 33, ER Nodes = 1259, Initial probability = 0.0006333333333333333, GC Size = 28, Avg Degree = 0.80
Epoch = 34, ER Nodes = 1267, Initial probability = 0.0006333333333333333, GC Size = 29, Avg Degree = 0.80
Epoch = 35, ER Nodes = 1281, Initial probability = 0.0006333333333333333, GC Size = 47, Avg Degree = 0.81
Epoch = 36, ER Nodes = 1292, Initial probability = 0.0006333333333333333, GC Size = 24, Avg Degree = 0.82
Epoch = 37, ER Nodes = 1303, Initial probability = 0.0006333333333333333, GC Size = 57, Avg Degree = 0.82
Epoch = 38, ER Nodes = 1315, Initial probability = 0.0006333333333333333, GC Size = 42, Avg Degree = 0.83
