Epoch = 1, ER Nodes = 982, removal debris = 27, Initial probability = 0.0003, GC Size = 6, Avg Degree = 0.30, removal rate = 27
Epoch = 2, ER Nodes = 983, removal debris = 27, Initial probability = 0.0003, GC Size = 6, Avg Degree = 0.29, removal rate = 27
Epoch = 3, ER Nodes = 985, removal debris = 27, Initial probability = 0.0003, GC Size = 7, Avg Degree = 0.29, removal rate = 27
Epoch = 4, ER Nodes = 994, removal debris = 27, Initial probability = 0.0003, GC Size = 6, Avg Degree = 0.30, removal rate = 27
Epoch = 5, ER Nodes = 998, removal debris = 27, Initial probability = 0.0003, GC Size = 12, Avg Degree = 0.30, removal rate = 27
Epoch = 6, ER Nodes = 1002, removal debris = 27, Initial probability = 0.0003, GC Size = 6, Avg Degree = 0.30, removal rate = 27
Epoch = 7, ER Nodes = 1008, removal debris = 27, Initial probability = 0.0003, GC Size = 7, Avg Degree = 0.30, removal rate = 27
Epoch = 8, ER Nodes = 1010, removal debris = 27, Initial probability = 0.0003, GC Size = 6, Avg Degree = 0.30, removal rate = 27
Epoch = 9, ER Nodes = 1015, removal debris = 27, Initial probability = 0.0003, GC Size = 7, Avg Degree = 0.30, removal rate = 27
Epoch = 10, ER Nodes = 1021, removal debris = 27, Initial probability = 0.0003, GC Size = 5, Avg Degree = 0.31, removal rate = 27
Epoch = 11, ER Nodes = 1001, removal debris = 27, Initial probability = 0.0003, GC Size = 5, Avg Degree = 0.31, removal rate = 27
Epoch = 12, ER Nodes = 1005, removal debris = 27, Initial probability = 0.0003, GC Size = 13, Avg Degree = 0.30, removal rate = 27
Epoch = 13, ER Nodes = 1006, removal debris = 27, Initial probability = 0.0003, GC Size = 7, Avg Degree = 0.30, removal rate = 27
Epoch = 14, ER Nodes = 1010, removal debris = 27, Initial probability = 0.0003, GC Size = 6, Avg Degree = 0.30, removal rate = 27
Epoch = 15, ER Nodes = 1013, removal debris = 27, Initial probability = 0.0003, GC Size = 6, Avg Degree = 0.30, removal rate = 27
Epoch = 16, ER Nodes = 1014, removal debris = 27, Initial probability = 0.0003, GC Size = 6, Avg Degree = 0.30, removal rate = 27
Epoch = 17, ER Nodes = 1016, removal debris = 27, Initial probability = 0.0003, GC Size = 6, Avg Degree = 0.30, removal rate = 27
Epoch = 18, ER Nodes = 1018, removal debris = 27, Initial probability = 0.0003, GC Size = 6, Avg Degree = 0.30, removal rate = 27
Epoch = 19, ER Nodes = 1022, removal debris = 27, Initial probability = 0.0003, GC Size = 6, Avg Degree = 0.31, removal rate = 27
Epoch = 20, ER Nodes = 1026, removal debris = 27, Initial probability = 0.0003, GC Size = 9, Avg Degree = 0.31, removal rate = 27
Epoch = 21, ER Nodes = 1009, removal debris = 27, Initial probability = 0.0003, GC Size = 6, Avg Degree = 0.31, removal rate = 27
Epoch = 22, ER Nodes = 1014, removal debris = 27, Initial probability = 0.0003, GC Size = 6, Avg Degree = 0.30, removal rate = 27
Epoch = 23, ER Nodes = 1016, removal debris = 27, Initial probability = 0.0003, GC Size = 5, Avg Degree = 0.30, removal rate = 27
Epoch = 24, ER Nodes = 1020, removal debris = 27, Initial probability = 0.0003, GC Size = 7, Avg Degree = 0.30, removal rate = 27
Epoch = 25, ER Nodes = 1020, removal debris = 27, Initial probability = 0.0003, GC Size = 6, Avg Degree = 0.30, removal rate = 27
Epoch = 26, ER Nodes = 1022, removal debris = 27, Initial probability = 0.0003, GC Size = 6, Avg Degree = 0.31, removal rate = 27
