Epoch = 1, ER Nodes = 1000, Initial probability = 0.0008, GC Size = 35, Avg Degree = 0.80
Epoch = 2, ER Nodes = 1013, Initial probability = 0.0008, GC Size = 54, Avg Degree = 0.81
Epoch = 3, ER Nodes = 1020, Initial probability = 0.0008, GC Size = 25, Avg Degree = 0.81
Epoch = 4, ER Nodes = 1026, Initial probability = 0.0008, GC Size = 25, Avg Degree = 0.82
Epoch = 5, ER Nodes = 1037, Initial probability = 0.0008, GC Size = 38, Avg Degree = 0.83
Epoch = 6, ER Nodes = 1050, Initial probability = 0.0008, GC Size = 118, Avg Degree = 0.84
Epoch = 7, ER Nodes = 1057, Initial probability = 0.0008, GC Size = 36, Avg Degree = 0.84
Epoch = 8, ER Nodes = 1061, Initial probability = 0.0008, GC Size = 34, Avg Degree = 0.85
Epoch = 9, ER Nodes = 1073, Initial probability = 0.0008, GC Size = 51, Avg Degree = 0.86
Epoch = 10, ER Nodes = 1094, Initial probability = 0.0008, GC Size = 55, Avg Degree = 0.87
Epoch = 11, ER Nodes = 1099, Initial probability = 0.0008, GC Size = 30, Avg Degree = 0.88
Epoch = 12, ER Nodes = 1112, Initial probability = 0.0008, GC Size = 86, Avg Degree = 0.89
Epoch = 13, ER Nodes = 1121, Initial probability = 0.0008, GC Size = 38, Avg Degree = 0.90
Epoch = 14, ER Nodes = 1133, Initial probability = 0.0008, GC Size = 42, Avg Degree = 0.91
Epoch = 15, ER Nodes = 1142, Initial probability = 0.0008, GC Size = 20, Avg Degree = 0.91
Epoch = 16, ER Nodes = 1152, Initial probability = 0.0008, GC Size = 83, Avg Degree = 0.92
Epoch = 17, ER Nodes = 1168, Initial probability = 0.0008, GC Size = 39, Avg Degree = 0.93
Epoch = 18, ER Nodes = 1184, Initial probability = 0.0008, GC Size = 86, Avg Degree = 0.95
Epoch = 19, ER Nodes = 1196, Initial probability = 0.0008, GC Size = 78, Avg Degree = 0.95
Epoch = 20, ER Nodes = 1207, Initial probability = 0.0008, GC Size = 63, Avg Degree = 0.96
Epoch = 21, ER Nodes = 1218, Initial probability = 0.0008, GC Size = 68, Avg Degree = 0.97
Epoch = 22, ER Nodes = 1231, Initial probability = 0.0008, GC Size = 74, Avg Degree = 0.98
Epoch = 23, ER Nodes = 1241, Initial probability = 0.0008, GC Size = 59, Avg Degree = 0.99
Epoch = 24, ER Nodes = 1259, Initial probability = 0.0008, GC Size = 169, Avg Degree = 1.01
Epoch = 25, ER Nodes = 1275, Initial probability = 0.0008, GC Size = 166, Avg Degree = 1.02
Epoch = 26, ER Nodes = 1281, Initial probability = 0.0008, GC Size = 155, Avg Degree = 1.02
Epoch = 27, ER Nodes = 1296, Initial probability = 0.0008, GC Size = 52, Avg Degree = 1.04
Epoch = 28, ER Nodes = 1305, Initial probability = 0.0008, GC Size = 155, Avg Degree = 1.04
Epoch = 29, ER Nodes = 1310, Initial probability = 0.0008, GC Size = 266, Avg Degree = 1.05
Epoch = 30, ER Nodes = 1321, Initial probability = 0.0008, GC Size = 120, Avg Degree = 1.06
Epoch = 31, ER Nodes = 1336, Initial probability = 0.0008, GC Size = 141, Avg Degree = 1.07
Epoch = 32, ER Nodes = 1362, Initial probability = 0.0008, GC Size = 265, Avg Degree = 1.09
Epoch = 33, ER Nodes = 1380, Initial probability = 0.0008, GC Size = 335, Avg Degree = 1.10
Epoch = 34, ER Nodes = 1394, Initial probability = 0.0008, GC Size = 93, Avg Degree = 1.11
Epoch = 35, ER Nodes = 1413, Initial probability = 0.0008, GC Size = 247, Avg Degree = 1.13
Epoch = 36, ER Nodes = 1431, Initial probability = 0.0008, GC Size = 343, Avg Degree = 1.14
Epoch = 37, ER Nodes = 1451, Initial probability = 0.0008, GC Size = 417, Avg Degree = 1.16
Epoch = 38, ER Nodes = 1458, Initial probability = 0.0008, GC Size = 299, Avg Degree = 1.16
Epoch = 39, ER Nodes = 1479, Initial probability = 0.0008, GC Size = 370, Avg Degree = 1.18
Epoch = 40, ER Nodes = 1486, Initial probability = 0.0008, GC Size = 555, Avg Degree = 1.19
Epoch = 41, ER Nodes = 1506, Initial probability = 0.0008, GC Size = 520, Avg Degree = 1.20
Epoch = 42, ER Nodes = 1527, Initial probability = 0.0008, GC Size = 533, Avg Degree = 1.22
Epoch = 43, ER Nodes = 1545, Initial probability = 0.0008, GC Size = 512, Avg Degree = 1.23
Epoch = 44, ER Nodes = 1573, Initial probability = 0.0008, GC Size = 649, Avg Degree = 1.26
Epoch = 45, ER Nodes = 1594, Initial probability = 0.0008, GC Size = 623, Avg Degree = 1.27
Epoch = 46, ER Nodes = 1605, Initial probability = 0.0008, GC Size = 680, Avg Degree = 1.28
Epoch = 47, ER Nodes = 1631, Initial probability = 0.0008, GC Size = 684, Avg Degree = 1.30
Epoch = 48, ER Nodes = 1653, Initial probability = 0.0008, GC Size = 634, Avg Degree = 1.32
Epoch = 49, ER Nodes = 1673, Initial probability = 0.0008, GC Size = 728, Avg Degree = 1.34
Epoch = 50, ER Nodes = 1694, Initial probability = 0.0008, GC Size = 790, Avg Degree = 1.35
Epoch = 51, ER Nodes = 1707, Initial probability = 0.0008, GC Size = 740, Avg Degree = 1.36
Epoch = 52, ER Nodes = 1733, Initial probability = 0.0008, GC Size = 860, Avg Degree = 1.38
Epoch = 53, ER Nodes = 1757, Initial probability = 0.0008, GC Size = 880, Avg Degree = 1.40
Epoch = 54, ER Nodes = 1786, Initial probability = 0.0008, GC Size = 964, Avg Degree = 1.43
Epoch = 55, ER Nodes = 1803, Initial probability = 0.0008, GC Size = 970, Avg Degree = 1.44
Epoch = 56, ER Nodes = 1830, Initial probability = 0.0008, GC Size = 1024, Avg Degree = 1.46
Epoch = 57, ER Nodes = 1864, Initial probability = 0.0008, GC Size = 1028, Avg Degree = 1.49
Epoch = 58, ER Nodes = 1894, Initial probability = 0.0008, GC Size = 1131, Avg Degree = 1.51
Epoch = 59, ER Nodes = 1921, Initial probability = 0.0008, GC Size = 1168, Avg Degree = 1.54
Epoch = 60, ER Nodes = 1946, Initial probability = 0.0008, GC Size = 1191, Avg Degree = 1.55
Epoch = 61, ER Nodes = 1973, Initial probability = 0.0008, GC Size = 1259, Avg Degree = 1.58
Epoch = 62, ER Nodes = 2002, Initial probability = 0.0008, GC Size = 1291, Avg Degree = 1.60
Epoch = 63, ER Nodes = 2035, Initial probability = 0.0008, GC Size = 1380, Avg Degree = 1.63
Epoch = 64, ER Nodes = 2069, Initial probability = 0.0008, GC Size = 1406, Avg Degree = 1.65
Epoch = 65, ER Nodes = 2095, Initial probability = 0.0008, GC Size = 1461, Avg Degree = 1.67
Epoch = 66, ER Nodes = 2143, Initial probability = 0.0008, GC Size = 1521, Avg Degree = 1.71
Epoch = 67, ER Nodes = 2184, Initial probability = 0.0008, GC Size = 1574, Avg Degree = 1.75
Epoch = 68, ER Nodes = 2222, Initial probability = 0.0008, GC Size = 1647, Avg Degree = 1.78
Epoch = 69, ER Nodes = 2263, Initial probability = 0.0008, GC Size = 1667, Avg Degree = 1.81
Epoch = 70, ER Nodes = 2311, Initial probability = 0.0008, GC Size = 1755, Avg Degree = 1.85
Epoch = 71, ER Nodes = 2357, Initial probability = 0.0008, GC Size = 1778, Avg Degree = 1.88
Epoch = 72, ER Nodes = 2393, Initial probability = 0.0008, GC Size = 1849, Avg Degree = 1.91
Epoch = 73, ER Nodes = 2436, Initial probability = 0.0008, GC Size = 1872, Avg Degree = 1.95
Epoch = 74, ER Nodes = 2482, Initial probability = 0.0008, GC Size = 1922, Avg Degree = 1.98
Epoch = 75, ER Nodes = 2526, Initial probability = 0.0008, GC Size = 1997, Avg Degree = 2.02
Epoch = 76, ER Nodes = 2578, Initial probability = 0.0008, GC Size = 2096, Avg Degree = 2.06
Epoch = 77, ER Nodes = 2636, Initial probability = 0.0008, GC Size = 2175, Avg Degree = 2.11
Epoch = 78, ER Nodes = 2701, Initial probability = 0.0008, GC Size = 2275, Avg Degree = 2.16
Epoch = 79, ER Nodes = 2751, Initial probability = 0.0008, GC Size = 2314, Avg Degree = 2.20
Epoch = 80, ER Nodes = 2809, Initial probability = 0.0008, GC Size = 2404, Avg Degree = 2.25
