Epoch = 1, ER Nodes = 1000, Initial probability = 0.0005444444444444444, GC Size = 13, Avg Degree = 0.54
Epoch = 2, ER Nodes = 1006, Initial probability = 0.0005444444444444444, GC Size = 15, Avg Degree = 0.55
Epoch = 3, ER Nodes = 1010, Initial probability = 0.0005444444444444444, GC Size = 12, Avg Degree = 0.55
Epoch = 4, ER Nodes = 1021, Initial probability = 0.0005444444444444444, GC Size = 10, Avg Degree = 0.55
Epoch = 5, ER Nodes = 1026, Initial probability = 0.0005444444444444444, GC Size = 13, Avg Degree = 0.56
Epoch = 6, ER Nodes = 1033, Initial probability = 0.0005444444444444444, GC Size = 12, Avg Degree = 0.56
Epoch = 7, ER Nodes = 1035, Initial probability = 0.0005444444444444444, GC Size = 17, Avg Degree = 0.56
Epoch = 8, ER Nodes = 1045, Initial probability = 0.0005444444444444444, GC Size = 15, Avg Degree = 0.57
Epoch = 9, ER Nodes = 1049, Initial probability = 0.0005444444444444444, GC Size = 12, Avg Degree = 0.57
Epoch = 10, ER Nodes = 1055, Initial probability = 0.0005444444444444444, GC Size = 11, Avg Degree = 0.57
Epoch = 11, ER Nodes = 1058, Initial probability = 0.0005444444444444444, GC Size = 14, Avg Degree = 0.57
Epoch = 12, ER Nodes = 1062, Initial probability = 0.0005444444444444444, GC Size = 10, Avg Degree = 0.58
Epoch = 13, ER Nodes = 1071, Initial probability = 0.0005444444444444444, GC Size = 16, Avg Degree = 0.58
Epoch = 14, ER Nodes = 1074, Initial probability = 0.0005444444444444444, GC Size = 15, Avg Degree = 0.58
Epoch = 15, ER Nodes = 1082, Initial probability = 0.0005444444444444444, GC Size = 18, Avg Degree = 0.59
Epoch = 16, ER Nodes = 1089, Initial probability = 0.0005444444444444444, GC Size = 13, Avg Degree = 0.59
Epoch = 17, ER Nodes = 1097, Initial probability = 0.0005444444444444444, GC Size = 15, Avg Degree = 0.60
Epoch = 18, ER Nodes = 1099, Initial probability = 0.0005444444444444444, GC Size = 13, Avg Degree = 0.60
Epoch = 19, ER Nodes = 1101, Initial probability = 0.0005444444444444444, GC Size = 19, Avg Degree = 0.60
Epoch = 20, ER Nodes = 1108, Initial probability = 0.0005444444444444444, GC Size = 22, Avg Degree = 0.60
Epoch = 21, ER Nodes = 1114, Initial probability = 0.0005444444444444444, GC Size = 15, Avg Degree = 0.61
Epoch = 22, ER Nodes = 1117, Initial probability = 0.0005444444444444444, GC Size = 13, Avg Degree = 0.61
Epoch = 23, ER Nodes = 1127, Initial probability = 0.0005444444444444444, GC Size = 18, Avg Degree = 0.61
