Epoch = 1, ER Nodes = 984, removal debris = 21, Initial probability = 0.0003, GC Size = 8, Avg Degree = 0.30, removal rate = 21
Epoch = 2, ER Nodes = 988, removal debris = 21, Initial probability = 0.0003, GC Size = 5, Avg Degree = 0.29, removal rate = 21
Epoch = 3, ER Nodes = 989, removal debris = 21, Initial probability = 0.0003, GC Size = 9, Avg Degree = 0.30, removal rate = 21
Epoch = 4, ER Nodes = 993, removal debris = 21, Initial probability = 0.0003, GC Size = 6, Avg Degree = 0.30, removal rate = 21
Epoch = 5, ER Nodes = 997, removal debris = 21, Initial probability = 0.0003, GC Size = 4, Avg Degree = 0.30, removal rate = 21
Epoch = 6, ER Nodes = 1001, removal debris = 21, Initial probability = 0.0003, GC Size = 11, Avg Degree = 0.30, removal rate = 21
Epoch = 7, ER Nodes = 1002, removal debris = 21, Initial probability = 0.0003, GC Size = 9, Avg Degree = 0.30, removal rate = 21
Epoch = 8, ER Nodes = 1004, removal debris = 21, Initial probability = 0.0003, GC Size = 6, Avg Degree = 0.30, removal rate = 21
Epoch = 9, ER Nodes = 1008, removal debris = 21, Initial probability = 0.0003, GC Size = 9, Avg Degree = 0.30, removal rate = 21
Epoch = 10, ER Nodes = 1012, removal debris = 21, Initial probability = 0.0003, GC Size = 8, Avg Degree = 0.30, removal rate = 21
Epoch = 11, ER Nodes = 1003, removal debris = 21, Initial probability = 0.0003, GC Size = 9, Avg Degree = 0.31, removal rate = 21
Epoch = 12, ER Nodes = 1005, removal debris = 21, Initial probability = 0.0003, GC Size = 5, Avg Degree = 0.30, removal rate = 21
Epoch = 13, ER Nodes = 1009, removal debris = 21, Initial probability = 0.0003, GC Size = 8, Avg Degree = 0.30, removal rate = 21
Epoch = 14, ER Nodes = 1012, removal debris = 21, Initial probability = 0.0003, GC Size = 9, Avg Degree = 0.30, removal rate = 21
Epoch = 15, ER Nodes = 1014, removal debris = 21, Initial probability = 0.0003, GC Size = 5, Avg Degree = 0.30, removal rate = 21
Epoch = 16, ER Nodes = 1016, removal debris = 21, Initial probability = 0.0003, GC Size = 7, Avg Degree = 0.30, removal rate = 21
Epoch = 17, ER Nodes = 1020, removal debris = 21, Initial probability = 0.0003, GC Size = 5, Avg Degree = 0.30, removal rate = 21
Epoch = 18, ER Nodes = 1021, removal debris = 21, Initial probability = 0.0003, GC Size = 6, Avg Degree = 0.31, removal rate = 21
Epoch = 19, ER Nodes = 1025, removal debris = 21, Initial probability = 0.0003, GC Size = 8, Avg Degree = 0.31, removal rate = 21
Epoch = 20, ER Nodes = 1028, removal debris = 21, Initial probability = 0.0003, GC Size = 6, Avg Degree = 0.31, removal rate = 21
Epoch = 21, ER Nodes = 1014, removal debris = 21, Initial probability = 0.0003, GC Size = 6, Avg Degree = 0.31, removal rate = 21
Epoch = 22, ER Nodes = 1014, removal debris = 21, Initial probability = 0.0003, GC Size = 7, Avg Degree = 0.30, removal rate = 21
Epoch = 23, ER Nodes = 1017, removal debris = 21, Initial probability = 0.0003, GC Size = 7, Avg Degree = 0.30, removal rate = 21
Epoch = 24, ER Nodes = 1020, removal debris = 21, Initial probability = 0.0003, GC Size = 6, Avg Degree = 0.30, removal rate = 21
Epoch = 25, ER Nodes = 1022, removal debris = 21, Initial probability = 0.0003, GC Size = 5, Avg Degree = 0.31, removal rate = 21
Epoch = 26, ER Nodes = 1024, removal debris = 21, Initial probability = 0.0003, GC Size = 6, Avg Degree = 0.31, removal rate = 21
Epoch = 27, ER Nodes = 1029, removal debris = 21, Initial probability = 0.0003, GC Size = 7, Avg Degree = 0.31, removal rate = 21
Epoch = 28, ER Nodes = 1033, removal debris = 21, Initial probability = 0.0003, GC Size = 6, Avg Degree = 0.31, removal rate = 21
Epoch = 29, ER Nodes = 1035, removal debris = 21, Initial probability = 0.0003, GC Size = 7, Avg Degree = 0.31, removal rate = 21
Epoch = 30, ER Nodes = 1039, removal debris = 21, Initial probability = 0.0003, GC Size = 6, Avg Degree = 0.31, removal rate = 21
Epoch = 31, ER Nodes = 1023, removal debris = 21, Initial probability = 0.0003, GC Size = 5, Avg Degree = 0.32, removal rate = 21
Epoch = 32, ER Nodes = 1024, removal debris = 21, Initial probability = 0.0003, GC Size = 6, Avg Degree = 0.30, removal rate = 21
Epoch = 33, ER Nodes = 1029, removal debris = 21, Initial probability = 0.0003, GC Size = 8, Avg Degree = 0.31, removal rate = 21
Epoch = 34, ER Nodes = 1031, removal debris = 21, Initial probability = 0.0003, GC Size = 6, Avg Degree = 0.31, removal rate = 21
Epoch = 35, ER Nodes = 1031, removal debris = 21, Initial probability = 0.0003, GC Size = 6, Avg Degree = 0.31, removal rate = 21
Epoch = 36, ER Nodes = 1033, removal debris = 21, Initial probability = 0.0003, GC Size = 5, Avg Degree = 0.31, removal rate = 21
Epoch = 37, ER Nodes = 1039, removal debris = 21, Initial probability = 0.0003, GC Size = 9, Avg Degree = 0.31, removal rate = 21
Epoch = 38, ER Nodes = 1040, removal debris = 21, Initial probability = 0.0003, GC Size = 6, Avg Degree = 0.31, removal rate = 21
Epoch = 39, ER Nodes = 1042, removal debris = 21, Initial probability = 0.0003, GC Size = 6, Avg Degree = 0.31, removal rate = 21
Epoch = 40, ER Nodes = 1045, removal debris = 21, Initial probability = 0.0003, GC Size = 6, Avg Degree = 0.31, removal rate = 21
Epoch = 41, ER Nodes = 1030, removal debris = 21, Initial probability = 0.0003, GC Size = 7, Avg Degree = 0.32, removal rate = 21
Epoch = 42, ER Nodes = 1033, removal debris = 21, Initial probability = 0.0003, GC Size = 7, Avg Degree = 0.31, removal rate = 21
Epoch = 43, ER Nodes = 1035, removal debris = 21, Initial probability = 0.0003, GC Size = 6, Avg Degree = 0.31, removal rate = 21
Epoch = 44, ER Nodes = 1038, removal debris = 21, Initial probability = 0.0003, GC Size = 6, Avg Degree = 0.31, removal rate = 21
Epoch = 45, ER Nodes = 1041, removal debris = 21, Initial probability = 0.0003, GC Size = 6, Avg Degree = 0.31, removal rate = 21
Epoch = 46, ER Nodes = 1044, removal debris = 21, Initial probability = 0.0003, GC Size = 7, Avg Degree = 0.31, removal rate = 21
Epoch = 47, ER Nodes = 1047, removal debris = 21, Initial probability = 0.0003, GC Size = 8, Avg Degree = 0.31, removal rate = 21
