object1,object2,time
"[ 1.67520960e+09  4.31054863e+04  6.94104500e+06  1.00000000e+00
  2.10394385e+06 -4.43853299e+06 -4.90417688e+06]","[ 1.67520960e+09  4.30980191e+04  6.94123700e+06  1.00000000e+00
  2.10409510e+06 -4.43856876e+06 -4.90435136e+06]",1786679500
"[ 1.67520960e+09  4.32526325e+04  6.94192200e+06  1.00000000e+00
 -1.61217453e+05  4.08711361e+06 -5.60890296e+06]","[ 1.67520960e+09  4.31515912e+04  6.94203900e+06  1.00000000e+00
 -1.61373880e+05  4.08761934e+06 -5.60867472e+06]",1879495100
