object1,object2,time
"[ 1.67520960e+09  4.35476639e+04  6.88998600e+06  1.00000000e+00
  7.84402463e+05 -1.27768681e+06  6.72488931e+06]","[ 1.67520960e+09  4.35757622e+04  6.89032400e+06  1.00000000e+00
  7.84799104e+05 -1.27802570e+06  6.72512494e+06]",1789159600
"[ 1.67520960e+09  4.35793948e+04  6.89343100e+06  1.00000000e+00
  1.54938864e+06 -6.59932362e+06 -1.25208369e+06]","[ 1.67520960e+09  4.35905163e+04  6.89367600e+06  1.00000000e+00
  1.54975650e+06 -6.59947628e+06 -1.25217270e+06]",1865888600
"[ 1.67520960e+09  4.35476639e+04  6.88998600e+06  1.00000000e+00
 -8.86554500e+05  1.31691197e+06 -6.70460074e+06]","[ 1.67520960e+09  4.35757622e+04  6.89032400e+06  1.00000000e+00
 -8.86699573e+05  1.31744528e+06 -6.70482413e+06]",1866513100
"[ 1.67520960e+09  4.35449584e+04  6.89090900e+06  1.00000000e+00
  2.57597750e+05  8.57933096e+05 -6.83243888e+06]","[ 1.67520960e+09  4.35671694e+04  6.89120900e+06  1.00000000e+00
  2.57501539e+05  8.57723714e+05 -6.83277136e+06]",1896259600
"[ 1.67520960e+09  4.35716341e+04  6.89074900e+06  1.00000000e+00
  3.37405878e+05  8.29182237e+05 -6.83235215e+06]","[ 1.67520960e+09  4.35699430e+04  6.89092400e+06  1.00000000e+00
  3.37166883e+05  8.29763662e+05 -6.83246986e+06]",1933816500
"[ 1.67520960e+09  4.35884688e+04  6.89328300e+06  0.00000000e+00
 -6.71685780e+05 -9.29881135e+05 -6.79716925e+06]","[ 1.67520960e+09  4.35905163e+04  6.89367600e+06  1.00000000e+00
 -6.71522639e+05 -9.30143660e+05 -6.79754801e+06]",1936170800
"[ 1.67520960e+09  4.35707547e+04  6.89084000e+06  1.00000000e+00
 -1.50080691e+05 -8.97272652e+05  6.83052366e+06]","[ 1.67520960e+09  4.35699430e+04  6.89092400e+06  1.00000000e+00
 -1.50501635e+05 -8.97484580e+05  6.83057130e+06]",1946338000
"[ 1.67520960e+09  4.35707547e+04  6.89084000e+06  1.00000000e+00
  5.33224781e+05  7.58162670e+05 -6.82821621e+06]","[ 1.67520960e+09  4.35699430e+04  6.89092400e+06  1.00000000e+00
  5.33032569e+05  7.57852823e+05 -6.82835038e+06]",1946340900
"[ 1.67520960e+09  4.35707547e+04  6.89084000e+06  1.00000000e+00
 -2.01657756e+05 -8.78740234e+05  6.83160491e+06]","[ 1.67520960e+09  4.35699430e+04  6.89092400e+06  1.00000000e+00
 -2.01301868e+05 -8.79132893e+05  6.83164962e+06]",1946343700
"[ 1.67520960e+09  4.35699526e+04  6.89067400e+06  0.00000000e+00
  3.58331100e+05 -1.06001926e+06  6.79921658e+06]","[ 1.67520960e+09  4.35671694e+04  6.89120900e+06  1.00000000e+00
  3.58482295e+05 -1.06001476e+06  6.79975151e+06]",1980402900
